Código;DESCRIÇÃO;Saldo ideal;Und.;Origem;1º bimestre;2º bimestre;3º bimestre;4º bimestre;5º bimestre;6º bimestre;TOTAL;desc red;;;;;;;;;;;;;;;;;;;
15438;"CAMISA PRIVATIVA, Aplicação: para servidor da área restrita e semirestrita, Material: Tecido liso, cor azul, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 48, Características: Peça única com costuras laterais, mangas japonesas curtas, fechado com decote ""V"", com 02 bolsos na parte frontal inferior e 01 bolso na parte frontal superior esquerda, Comprimento total: 90 cm, Largura total: 86 cm, largura da manga: 30 cm, Costura dupla no ombro e nas laterais, linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na camisa logomarca SES-DF no bolso superior esquerdo medindo 7x7cm na cor verde bandeira, sigla do hospital no lado superior direito na cor preta. Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES 15438";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISA PRIVATIVA;;;;;;;;;;;;;;;;;;;
15439;"CAMISA PRIVATIVA, Aplicação: para servidor da área restrita e semirestrita, Material: Tecido liso, cor azul, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 56, Características: Peça única com costuras laterais, mangas japonesas curtas, fechado com decote ""V"", com 02 bolsos na parte frontal inferior e 01 bolso na parte frontal superior esquerda, Comprimento total: 98 cm, Largura total: 94 cm, largura da manga: 38 cm, Costura dupla no ombro e nas laterais, linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na camisa logomarca SES-DF no bolso superior esquerdo medindo 7x7cm na cor verde bandeira, sigla do hospital no lado superior direito na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES 15439";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISA PRIVATIVA;;;;;;;;;;;;;;;;;;;
15440;"CAMISA PRIVATIVA, Aplicação: para servidor da área restrita e semirestrita, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 44, Características: Peça única com costuras laterais, mangas japonesas curtas, fechado com decote ""V"", com 02 bolsos na parte frontal inferior e 01 bolso na parte frontal superior esquerda, Comprimento total: 80 cm, largura total: 75 cm, largura da manga: 26 cm, Costura dupla no ombro e nas laterais, linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na camisa logomarca SES-DF no bolso superior esquerdo medindo 7x7cm na cor verde bandeira, sigla do hospital no lado superior direito na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES 15440";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISA PRIVATIVA;;;;;;;;;;;;;;;;;;;
15448;PORTA AGULHA DE TRHOUTMAN OU SINSKEY PARA FIO MONONYLON 10-0 SEM TRAVA, Para Cirurgia oftalmológica, Material: Titânio, Tamanho: 125 mm, Características adicionais: Mola tipo lâmina (não estéril).;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PORTA AGULHA DE TRHOUTMAN OU SINSKEY PARA FIO MONONYLON 10-0 SEM TRAVA;;;;;;;;;;;;;;;;;;;
15451;"CAMISA PRIVATIVA, Aplicação: para servidor da área restrita e semirestrita, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 48, Características: Peça única com costuras laterais, mangas japonesas curtas, fechado com decote ""V"", com 02 bolsos na parte frontal inferior e 01 bolso na parte frontal superior esquerda, Comprimento total: 90 cm, Largura total: 86 cm, Largura da manga: 30 cm, Costura dupla no ombro e nas laterais, linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na camisa logomarca SES-DF no bolso superior esquerdo e manga direita medindo 7x7cm na cor verde bandeira, sigla do hospital no lado superior direito na cor preta e manga esquerda, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES  15451";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISA PRIVATIVA;;;;;;;;;;;;;;;;;;;
15457;CAMISOLA ADULTO, Aplicação: para pacientes, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 44, Características: Peça única, costuras laterais, mangas japonesas curtas, decote transpassado, fechado na altura da cintura por duas tiras laterais, Comprimento total: 125 cm, Largura total: 80 cm, Largura da manga: 26 cm, Comprimento do cinto: 90 cm. Costura reta e overlock com linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na roupa logomarca da SES-DF medindo 15x15cm frontal esquerda na altura do peito e a sigla do hospital frontal direita, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15457;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISOLA ADULTO;;;;;;;;;;;;;;;;;;;
15464;CAPOTE PARA ÁREA RESTRITA, Aplicação: para servidor de área restrita, Material: Tecido liso, cor azul, 100% algodão, Linha 100% algodão, Tamanho: 48, Características: Peça única, costuras laterais, mangas raglãs compridas com punho em malha ribana sanfonada 100% algodão cor azul, decote rente ao pescoço com tiras para amarrar, abertura nas costas com transpasse, cinto preso as laterais, Comprimento total: 150 cm, largura total: 100 cm, comprimento  da manga: 75cm+ punho,comprimento do cinto: 90 cm de  cada lado, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no capote a logomarca da SES-DF medindo 15x15cm na parte superior frontal na cor verde bandeira e sigla do hospital nas mangas próximo do ombro verticalmente na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15464.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAPOTE PARA ÁREA RESTRITA;;;;;;;;;;;;;;;;;;;
15466;CAMISOLA ADULTO, Aplicação: para pacientes, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 48, Características: Peça única, costuras laterais, mangas japonesas curtas, decote transpassado, fechado na altura da cintura por duas tiras laterais, Comprimento total: 130 cm, largura total: 84 cm, largura da manga: 30 cm, comprimento do cinto: 90 cm, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m², Variação de medida do produto acabado ± 3 cm, Apresentar na roupa logomarca da SES-DF medindo 15x15cm frontal esquerda na altura do peito e a sigla do hospital frontal direita, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15466.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMISOLA ADULTO;;;;;;;;;;;;;;;;;;;
15473;CONJUNTO DE PIJAMA ADULTO, Aplicação: para pacientes, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Cadarço do mesmo tecido, Tamanho: 44, Características: camisa: costuras laterais, mangas japonesas curtas, abertura na frente e fechada por três tiras, bolsos laterais na parte inferior, Comprimento total: 80 cm, largura total: 75 cm, largura da manga: 26 cm, Apresentar logomarca SES-DF medindo 7x7cm no bolso esquerdo e manga direita, sigla do hospital no bolso direito e manga esquerda,Calça: peça simples cós com 3 cm por onde passa um cadarço para fechamento frontal, Comprimento total: 115 cm, largura total: 54 cm, largura da perna: 24 cm. Costura reta e overlock em linha 100% algodão. Apresentar logomarca SES-DF medindo 15x15cm na parte anterior da perna esquerda e sigla do hospital na perna direita verticalmente, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15473;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CONJUNTO DE PIJAMA ADULTO;;;;;;;;;;;;;;;;;;;
15474;CONJUNTO DE PIJAMA ADULTO, Aplicação: para pacientes, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster. Linha 100% algodão. Cadarço do mesmo, tecido, Tamanho: 48, Características: Camisa: peça única com costuras laterais, mangas japonesas curtas, abertura na frente e fechada por três tiras, bolsos laterais na parte inferior, Comprimento total: 90 cm, largura total: 86 cm, largura da manga: 30 cm, Apresentar logomarca SES-DF medindo 7x7cm no bolso esquerdo e manga direita, sigla do hospital no bolso direito e manga esquerda, Calça: peça simples cós com 3 cm por onde passa um cadarço para fechamento frontal, Comprimento total: 130 cm, largura total: 62 cm, largura da perna: 26 cm, Apresentar logomarca SES-DF medindo 15x15cm na parte anterior da perna esquerda e sigla do hospital na perna direita verticalmente, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m², Variação de medida do produto acabado ± 3 cm, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15474;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CONJUNTO DE PIJAMA ADULTO;;;;;;;;;;;;;;;;;;;
15482;CONJUNTO DE PIJAMA ADULTO, Aplicação: para pacientes, Material: Tecido liso, cor verde, 50% algodão e 50% poliéster, Linha 100% algodão, Cadarço do mesmo tecido, Tamanho: 56, Características: camisa: peça única com costuras laterais, mangas japonesas curtas, abertura na frente e fechada por três tiras, bolsos laterais na parte inferior, Comprimento total: 98 cm, largura total: 94 cm, Largura da manga: 38 cm, Apresentar logomarca SES-DF medindo 7x7cm no bolso esquerdo e manga direita, sigla do hospital no bolso direito e manga esquerda,  Calça: peça simples cós com 3 cm por onde passa um cadarço para fechamento frontal, Comprimento total: 138 cm, largura da cintura: 70 cm, largura da perna: 34 cm, Apresentar logomarca SES-DF medindo 15x15cm na parte anterior da perna esquerda e sigla do hospital na perna direita, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m², Variação de medida do produto acabado ± 3 cm, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15482.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CONJUNTO DE PIJAMA ADULTO;;;;;;;;;;;;;;;;;;;
15483;CONJUNTO DE PIJAMA 6 A 12 MESES, Aplicação:  paciente pediátrico, Material: Tecido flanela amarela estampada padrão infantil, 100% algodão, Linha 100% algodão, Tamanho: 06 a 12 meses, Características: Camisa: Peça única, costuras laterais, mangas compridas medindo 35 cm comprimento e 11 cm punho, abertura na frente com transpasse de 10 cm e fechamento por 2 tiras, comprimento total 45cm, largura total 38cm, Apresentar na camisa logomarca SES-DF no bolso superior esquerdo e manga direita medindo 7x7cm na cor verde bandeira, sigla do hospital no lado superior direito e manga esquerda na cor preta, Calça: Peça simples, cintura com elástico, comprimento total 61 cm, largura da cintura 42 cm, largura da perna 18 cm. Costura reta e overlock com linha 100% algodão. Apresentar na calça logomarca SES-DF na parte anterior da perna esquerda medindo 7x7cm na cor verde bandeira e sigla do hospital na perna direita verticalmente na cor preta, Tecido flanela sarjada, 100% algodão, Peso mínimo 165g/m², armação: 2x2cm²,  Apresentar modelo de estampa para a Gerencia de Hotelaria/SAS, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15483.;R$ 50.000,00;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CONJUNTO DE PIJAMA 6 A 12 MESES;;;;;;;;;;;;;;;;;;;
15520;LUVA DE CORRER P/TUBO SOLDAVEL DE 50MM. ;R$ 50.000,00;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LUVA DE CORRER P/TUBO SOLDAVEL DE 50MM;;;;;;;;;;;;;;;;;;;
15638;CAIXA TÉRMICA COM RODAS, Aplicação: Aplicação: transporte de imunobiológicos (rotina e campanhas) para distribuição em salas de vacinas, Material: poliuretano, Tamanho: grande, entre 58 e 60 litros, Características Adicionais: densidade mínima de 35kg/m3, com espessura mínima de 4cm, confeccionadas externamente em estrutura de polietileno de impacto praticamente indestrutível, texturizada, resistente a impactos e arranhões, Tampa: removível e reversível, reta com fechamento hermético, Revestimento Interno: com isolamento em espuma de poliuretano resistente a infiltrações, vazamentos e corrosões, fácil de ser lavado (para impedir o aparecimento de manchas e odores), dreno com tampa na parte inferior, com duas rodas rodas na parte traseira e alça lateral dobrável para facilitar o transporte, Cor: azul. Forma de Apresentação: embalagem individual, Prazo de Validade: mínimo de 01 ano, Unidade de Estoque: unidade.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAIXA TERMICA;;;;;;;;;;;;;;;;;;;
15642;CAMPO SIMPLES BRIM PESADO 150X150cm, Aplicação: procedimento cirúrgico, Material: Tecido liso, cor azul e 100% algodão, Linha 100% algodão, Tamanho: 150x150cm, Características: Peça simples com costura reta e overlock com linha 100% algodão, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no campo a logomarca da SES-DF medindo 22x22cm centralizada e a sigla do hospital em todos os cantos do campo, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15642.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMPO SIMPLES BRIM PESADO 150X150cm;;;;;;;;;;;;;;;;;;;
15644;"LENÇOL ADULTO 2,70X1,70m. Aplicação: cobertura do colchão e do paciente. Material: tecido tela, cor branca, 50% algodão e 50% poliéster, linha 100% algodão, número mínimo de fios de 180. Tamanho: 2,70X1,70m. Características: peça simples, com barras estreitas, costura reta com linha 100% algodão, tecido tela 50% algodão e 50% poliéster, com variação de ±5%; gramatura mínima de 120g/m. Apresentar no centro do lençol a logomarca da SES-DF medindo 22x22cm e o nome da peça com seu tamanho. Forma de Apresentação: embalagem primária em saco plástico com 10 unidades e secundária em fardo plástico com no máximo 100 unidades. Unidade de estoque: unidade. Unidade de fornecimento: unidade.";R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LENÇOL ADULTO 2;;;;;;;;;;;;;;;;;;;
15645;LENÇOL BERÇO 90X120 cm, Aplicação: forrar berço, Material: tecido  estampado padrão infantil, fundo amarelo, 50% algodão e 50% poliéster, Linha 100% algodão, Tamanho: 90x120cm, Características: Peça simples com barras estreitas, costura reta e overlock com linha 100% algodão, Tecido tela 50% algodão 50% poliéster  fio 30, 105 no urdume e 75 na trama, tingimento em idantrem encolhimento 5% no Urdume e 3% na trama, peso mínimo 126g/m²,Variação de medida do produto acabado ± 3 cm, Apresentar na peça a logomarca da SES-DF na cor verde bandeira medindo 7x7cm centralizada e a sigla do hospital em todos os cantos da peça na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES 15645;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LENÇOL BERÇO 90X120 cm;;;;;;;;;;;;;;;;;;;
15715; ELETRODO ADULTO ADESIVO DESCARTÁVEL MARCA PHILIPS, Aplicação: para adaptar no equipamento marca philips modelo FR2, Características Adicionais: auto-aderente e multi-funções com uma área de superfície ativa nominal de 100cm2.;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00; ELETRODO ADULTO ADESIVO DESCARTÁVEL MARCA PHILIPS;;;;;;;;;;;;;;;;;;;
15736;CABO DE ECG 04 VIAS MEMBRO (12 DERIVAÇÕES), Aplicação: para monitoração da frequência e ritmo cardíaco dos pacientes, Características Adicionais: para uso em monitor-cardioversor LIFEPAK 12, marca Medtronic.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CABO DE ECG 04 VIAS MEMBRO (12 DERIVAÇÕES);;;;;;;;;;;;;;;;;;;
15759;PINCA MIXTER BABY DELICADA 140MM 1;R$ 49.217,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 783,00;R$ 0,00;R$ 0,00;R$ 783,00;PINÇA MIXTER 140;;;;;;;;;;;;;;;;;;;
15780;CAMPO SIMPLES 50X50 cm, Aplicação: procedimentos, Material: Tecido liso, cor azul e 100% algodão, Linha 100% algodão, Tamanho: 50x50 cm, Características: Peça simples com costura reta e overlock com linha 100% algodão, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no campo a logomarca da SES-DF medindo 7x7cm centralizada e a sigla do hospital em todos os cantos do campo, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAMPO SIMPLES 50X50 cm;;;;;;;;;;;;;;;;;;;
15785;CAPOTE PARA ÁREA RESTRITA, Aplicação: para servidor de área restrita, Material: Tecido liso, cor verde, 100% algodão, Linha 100% algodão, Tamanho: 48, Características: Peça única, costuras laterais, mangas raglãs compridas com punho em malha ribana sanfonada 100% algodão cor verde, decote rente ao pescoço com tiras para amarrar, abertura nas costas com transpasse, cinto preso as laterais, Comprimento total: 150 cm, largura total: 100 cm, comprimento da manga: 75cm+ punho,comprimento do cinto: 90 cm de cada lado, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no capote a logomarca da SES-DF medindo 15x15cm na cor verde bandeira na parte superior frontal e sigla do hospital nas mangas próximo do ombro verticalmente na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade, Código SES: 15785.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAPOTE PARA ÁREA RESTRITA;;;;;;;;;;;;;;;;;;;
15786;CAPOTE PARA ÁREA RESTRITA, Aplicação: para servidor de área restrita, Material: Tecido liso, cor branco, 100% algodão, Linha 100% algodão, Tamanho: 44, Características: Peça única, costuras laterais, mangas raglãs compridas com punho em malha ribana sanfonada 100% algodão cor branca, decote rente ao pescoço com tiras para amarrar, abertura nas costas com transpasse, cinto preso as laterais, Comprimento total: 140 cm, largura total: 90cm, comprimento da manga: 70cm mais o punho, comprimento do cinto: 90 cm de cada lado, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no capote a logomarca da SES-DF medindo 15x15cm na cor verde bandeira na parte superior frontal e sigla do hospital nas mangas próximo do ombro verticalmente na cor preta, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAPOTE PARA ÁREA RESTRITA;;;;;;;;;;;;;;;;;;;
15787;CAPOTE PARA ÁREA RESTRITA, Aplicação: para servidor de área restrita, Material: Tecido liso, cor branco, 100% algodão, Linha 100% algodão, Tamanho: 48, Características: Peça única, costuras laterais, mangas raglãs compridas com punho em malha ribana sanfonada 100% algodão cor branca, decote rente ao pescoço com tiras para amarrar, abertura nas costas com transpasse, cinto preso as laterais, Comprimento total: 150 cm, largura total: 100 cm, comprimento  da manga: 75cm+ punho,comprimento do cinto: 90 cm de  cada lado, Tecido com armação sarja 2x1cm², gramatura mínima 190g/m², fio urdume título 20, fio de trama título 16, encolhimento máximo 3%, variação de largura ± 2%, variação de peso ± 5g, Variação de medida do produto acabado ± 3 cm, Apresentar no capote a logomarca da SES-DF medindo 15x15cm na cor verde bandeira na parte superior frontal e sigla do hospital nas mangas próximo do ombro verticalmente na cor preta,, Forma de Apresentação: Embalagem primária em saco plástico com no máximo 10 unidades e secundaria em caixa de papelão com no máximo 100 unidades, Unidade de Estoque: Unidade, Unidade de fornecimento: Unidade;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAPOTE PARA ÁREA RESTRITA;;;;;;;;;;;;;;;;;;;
15875;SILICONE para rejunte (Rhodiastic multiuso ou equivalente) bisnaga c/240 g;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SILICONE para rejunte;;;;;;;;;;;;;;;;;;;
15878;MANTA DE POLIPROPILENO, Tamanho:  50 x 50 cm ( +- 5 cm), Produto: 100% em 03 camadas ( SMS),    Gramatura Mínima:  55 g/m2, Uso: único,  não estéril, composta por 03 camadas ( SMS) soldadas termicamente, sendo as 2 ( duas ) camadas externas de spunbond e 1 ( uma ) camada interna de meltblown, as camadas de spunbond deverão oferecer hidrorepelência, maleabilidade, resistência ao manuseio contra rasgos e não liberar fibras e partículas, a camada de meltblown deverá oferecer barreira microbiológica, Características Adicionais: assegurada por laudo de eficiência de filtração bacteriana ( BFE ), a manta é indicaca como embalagem para artigos a serem submetiddos e esterilizados por gás formaldeído ou vapor saturado sob pressão ou peróxido de hidrogênio, devendo ser permeável aos agentes esterilizantes, atóxica, antiestática e maleável para permitir o fechamento adequado do pacote, Cor: azul ou verde, Apresentação: acondicionadas em caixas de papelão com 100 ou 200 unidades.;R$ 50.000,00;FL;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;MANTA DE POLIPROPILENO;;;;;;;;;;;;;;;;;;;
15879;MANTA DE POLIPROPILENO, Tamanho:  75 x 75 cm ( +- 5 cm), Produto: 100% em 03 camadas ( SMS),       Gramatura Mínima:  55 g/m2, Uso: único,  não estéril, composta por 03 camadas ( SMS) soldadas termicamente, sendo as 2 ( duas ) camadas externas de spunbond e 1 ( uma ) camada interna de meltblown, as camadas de spunbond deverão oferecer hidrorepelência, maleabilidade, resistência ao manuseio contra rasgos e não liberar fibras e partículas, a camada de meltblown deverá oferecer barreira microbiológica, Características Adicionais: assegurada por laudo de eficiência de filtração bacteriana ( BFE ), a manta é indicaca como embalagem para artigos a serem submetiddos e esterilizados por gás formaldeído ou vapor saturado sob pressão ou peróxido de hidrogênio, devendo ser permeável aos agentes esterilizantes, atóxica, antiestática e maleável para permitir o fechamento adequado do pacote, Cor: azul ou verde, Apresentação: acondicionadas em caixas de papelão com 100 ou 200 unidades.;R$ 50.000,00;FL;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;MANTA DE POLIPROPILENO;;;;;;;;;;;;;;;;;;;
