Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;8;51102;1;X;X;RETENTOR 1;UN;5;ELETROSPITALAR (162);00.584.060/0001-07;5;140,0000000; R$700,00 ;19/03/2020;3692;19/03/2020;20/03/2020;20/03/2020;90137;13/04/2020;2;;;;;;0
252/2019;NFH;11/12/2019;00060-00507638/2019-71;Robson;.415/2019;1;21753;1;X;X;"AGULHA PARA COLETA MULTIPLA DE SANGUE A VACUO. Aplicação: para coleta múltipla de sangue a vácuo. Tamanho/Capacidade: 21G, Características adicionais: com dispositivo exclusivo de segurança, que após acionado recobrirá completamente a agulha garantindo total biosegurança. Agulha com bisel trifacetado, siliconizada, estéril. Forma de apresentação: embalagem individual. 
**OBS.: Para cada 100 unidades de agulhas adquiridas, o vencedor do certame deverá fornecer um adaptador plástico, reutilizável, não estéril e exclusivo dispositivo de segurança junto a base do adaptador, que quando acionado descarta automaticamente a agulha.";UN;20000;FARMATEX DO BRASIL (703448);21.284.068/0001-10;20000;0,2800000; R$5.600,00 ;19/12/2019;3712;09/01/2020;16/01/2020;21/01/2020;44939;24/01/2020;A/A;;;;;;PINÇA KELLY 140
052/2020;NFH;18/02/2020;00060-00065134/2020-12;Clayton;068/2020;2;95636;2;X;X;XILOL P.A. - 1000 ML - XILENO, ASPECTO FÍSICO LÍQUIDO LÍMPIDO, INCOLOR, INFLAMÁVEL, PESO MOLECULAR 106,17, FÓRMULA QUÍMICA C6H4(CH3)2 - MISTURA DE ISÔMEROS ORTO, PARA E META, GRAU DE PUREZA PUREZA MÍNIMA DE 98, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 1330-20-7;FR;24;ATD (700657);05.896.738/0001-00;24;27,5000000; R$660,00 ;20/02/2020;3723;06/03/2020;12/03/2020;13/03/2020;3279;26/03/2020;2;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 7
054/2020;NFH;21/02/2020;00060-00070214/2020-81;Clayton;074/2020;1;95609;1;X;X;TUBO DE HEMOLISE 12X75MM, VIDRO BOROSSILICATO 1;UN;500;ATD (700657);05.896.738/0001-00;500;0,3000000; R$150,00 ;17/03/2020;3737;18/03/2020;31/03/2020;03/04/2020;3281;13/04/2020;2;;;;;;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""P"""
171/2020;NFH;22/05/2020;00060-00209500/2020-43;Robson;279/2020;1;95461;3;X;X;"Parafina histológica, aspecto físico sólido, branca, ponto fusão 59 – 63 °c. Aplicação: Processamento de materiais de biópsias e peças cirúrgicas,para confecção de lâminas histológicas. Composição: Cera de petróleo Características adicionais: Aspecto: - Estado físico: Sólido -  Cor: Branca Odor: Baixo odor, porém característico de hidrocarbonetos. Ponto de fusão/ponto de congelamento: 59– 63 °C (ASTM D87)Ponto de fulgor: > 200 °C (ASTM D-92); Densidade relativa: 0,790 à 80°C (água como padrão) Solubilidades: - Na água: Insolúvel -Em Tolueno: aproximadamente 14g/100g de tolueno à 20 °C.Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega.";BR;30;ATD (700657);05.896.738/0001-00;30;31,0000000; R$930,00 ;28/05/2020;3824;09/06/2020;17/06/2020;18/06/2020;3291;29/06/2020;3;;;;;;AGUA PARA INJETAVEIS FRASCO OU BOLSA 500 ML
227/2020;NFH;10/06/2020;00060-00240847/2020-63;Robson;367/2020;1;95504;1;X;X;PONTEIRA DESCARTÁVEL, POLIPROPILENO P/PIPETA MICROVOLUMÉTRICA 5 A 200 MCL PACOTE C/1000 UNIDADES. Estéril.;PCT;400;ATD (700657);05.896.738/0001-00;400;0,7000000; R$280,00 ;16/06/2020;3835;18/06/2020;19/06/2020;22/06/2020;3290;29/06/2020;3;Pediram 20.000 unidades, portanto 400 pacotes com 50 unidades.;;;;;POLIDOCANOL 3% AMPOLA 2ML
006/2020;NFH;17/01/2020;00060-00020224/2020-76;Clayton;009/2020;1;34534;5;X;X;"EQUIPO SIMPLES PARA INFUSÃO DE SOLUÇÕES PARENTERAIS, TIPO GRAVITACIONAL,INJETOR LATERAL MEMBRANA AUTO CICATRIZANTE. Aplicação: administração soluções parenterais. Características adicionais: Apirogênico, com ponta perfurante que permita conexão segura e facilite a introdução em recipientes de soluções sem risco de desconectar durante o uso, com protetor adequado; com câmara gotejadora transparente e flexível, com filtro de partículas 15 micra, entrada de ar com filtro hidrófobo e bacteriológico, que não permita vazamento em suas junções, com tubo gotejador no interior da mesma que assegure que 20 gotas sejam equivalentes a 1 ml; tubo transparente flexível, atóxico, com comprimento mínimo de 1,20m, com regulador de fluxo tipo rolete que garanta perfeito controle de gotejamento; injetor lateral com membrana autocicatrizante ou válvula Needle-Free, livre de látex; conector distal tipo \'luer-lock\' giratório, que permita perfeita adaptação aos dispositivos de acesso venoso. Embalagem individual em papel grau cirúrgico, que permita a abertura em técnica asséptica, capaz de assegurar a esterilidade do produto durante o transporte, armazenamento, até o momento do uso. Apresentação: embalagem individual acondicionada em caixa. ";UN;10000;FARMATEX DO BRASIL (703448);21.284.068/0001-10;10000;0,7400000; R$7.400,00 ;23/01/2020;3931;24/01/2020;31/01/2020;04/02/2020;73928;09/03/2020;2;;;;;;0
384/2020;NFH;18/08/2020;00060-00353307/2020-49;Bruno;590/2020;1;95500;1;X;X;PLACA ESCAVADA P/ VDRL 1;UN;5;ATD (700657);05.896.738/0001-00;5;65,0000000; R$325,00 ;25/09/2020;3945;29/09/2020;02/10/2020;07/10/2020;3301;05/11/2020;6;(com Borda Fosca);;;;;
477/2020;NFH;09/10/2020;00060-00433238/2020-56;Robson;699/2020;2;95273;2;X;X;PLACA PRONTA PARA USO AGAR SANGUE 90 X 15MM;UN;400;ATD (700657);05.896.738/0001-00;720;2,9500000; R$2.124,00 ;23/10/2020;3975;03/11/2020;04/11/2020;16/11/2020;3306;02/12/2020;6;SALDO 2340;;;;;
477/2020;NFH;09/10/2020;00060-00433238/2020-56;Robson;699/2020;4;23063;1;X;X;AGAR SCREENING CROMOGENICO PARA IDENTIFICAÇAO DE BACTERIAS PRODUTORAS DE CARBAPENEMASE.  Aplicação: teste screening de identificação microbiológica em meio de cultura. Forma de apresentação: placas pronto uso.;UN;120;ATD (700657);05.896.738/0001-00;120;7,5000000; R$900,00 ;23/10/2020;3975;03/11/2020;04/11/2020;16/11/2020;3306;02/12/2020;6;SALDO 2340;;;;;
456/2020;NFH;01/10/2020;00060-00416958/2020-57;Robson;665/2020;1;95351;2;X;X;FUCSINA BASICA, CI 42500, 25G;FR;5;ATD (700657);05.896.738/0001-00;5;577,5000000; R$2.887,50 ;08/10/2020;3985;09/11/2020;13/11/2020;17/11/2020;3305;02/12/2020;6;;;;;;
457/2020;NFH;01/10/2020;00060-00417013/2020-52;Jefferson;664/2020;1;200040;1;X;X;"FENOL ACS;PESO MOLECULAR: 94,11 G/MOL FÓRMULA QUÍMICA: C6H5OHASPECTO FÍSICO: CRISTAL INCOLOR, ALTAMENTE HIGROSCÓPICOTEOR DE ÁGUA MÁXIMO 0,5%.PUREZA MÍNIMA: 99% NÚMERO CAS: 108-95-2 APRESENTAÇÃO: FRASCO 1LITRO";FR;2;ATD (700657);05.896.738/0001-00;2;92,0000000; R$184,00 ;26/10/2020;3986;09/11/2020;13/11/2020;17/11/2020;3304;02/12/2020;6;;;;;;
012/2020;NECFM;17/03/2020;00060-00106653/2020-30;Oberdan;100/2020;1;REP01;1;;;CONSERTO DE Reprocessadora Automática, Marca ENDOCLEAR, Modelo AL1012IDL, Nº Patrimônio 1197891;Serviço;1;ELETROSPITALAR (162);00.584.060/0001-07;1;816,0000000; R$816,00 ;14/04/2020;3994;14/05/2020;26/05/2020;27/05/2020;30530;25/06/2020;3;;;;;;0
004/2020;NFH;15/01/2020;00060-00015358/2020-75;Clayton;016/2020;3;92410;6;X;X;LUVA CIRURGICA CONVENCIONAL Nº 6,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;FARMATEX DO BRASIL (703448);21.284.068/0001-10;5000;0,8900000; R$4.450,00 ;23/01/2020;4014;31/01/2020;11/02/2020;18/02/2020;73049;06/03/2020;2;;;;;;0
035/2020;NFH;30/01/2020;00060-00037347/2020-46;Clayton;035/2020;1;92401;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,0 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;10000;FARMATEX DO BRASIL (703448);21.284.068/0001-10;10000;0,8900000; R$8.900,00 ;31/01/2020;4027;03/02/2020;11/02/2020;18/02/2020;73960;09/03/2020;2;;;;;;TALA METÁLICA PARA IMOBILIZAÇÃO DE DEDO 12MM X 180MM
028/2020;NECFM;27/05/2020;00060-00213829/2020-17;Oberdan;289/2020;1;MIC07;1;;;Conserto deMicroscópio Binocular, Marca LEICA, Modelo DM 1000, Nº Patrimônio 931646, Nº de Série 336695.;Serviço;1;ELETROSPITALAR (162);00.584.060/0001-07;1;220,0000000; R$220,00 ;10/06/2020;4187;15/06/2020;15/06/2020;15/06/2020;32460;29/06/2020;3;;;;;;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML
028/2020;NECFM;27/05/2020;00060-00213829/2020-17;Oberdan;289/2020;2;MIC08;1;;;Conserto de Microscópio Binocular, Marca LEICA, Modelo DM 1000, Nº Patrimônio 931643, Nº de Série 336703.;Serviço;1;ELETROSPITALAR (162);00.584.060/0001-07;1;220,0000000; R$220,00 ;10/06/2020;4187;15/06/2020;15/06/2020;15/06/2020;32460;29/06/2020;3;;;;;;METILDOPA COMPRIMIDO REVESTIDO 250 MG
028/2020;NECFM;27/05/2020;00060-00213829/2020-17;Oberdan;289/2020;3;MIC09;1;;;Conserto de Microscópio Binocular, Marca OLYMPUS, Nº Patrimônio 3258.;Serviço;1;ELETROSPITALAR (162);00.584.060/0001-07;1;220,0000000; R$220,00 ;10/06/2020;4187;15/06/2020;15/06/2020;15/06/2020;32460;29/06/2020;3;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 8,5
223/202;NFH;09/06/2020;00060-00237877/2020-92;Robson;364/2020;1;17684;6;X;X;FÓRMULA INFANTIL PARA LACTENTES, 0 À 6 MESES, Aplicação: indicada para lactentes desde o nascimento até o 6º mês de vida,  Características Adicionais: à base de leite de vaca ou de outros animais ou de uma mistura destes e/ou de outros ingredientes comprovadamente adequados para alimentação de lactentes até o sexto mês de vida, sem indicações dietoterápicas específicas. Forma de Apresentação: pó, Unidade de Estoque: grama (GR).;GR;19200;MEDCOM 0003 (703839);25.211.499/0003-79;19200;0,0262500; R$504,00 ;15/06/2020;5003;26/06/2020;26/06/2020;30/06/2020;45771;20/07/2020;4;;;;;;TUBO ENDOTRAQUEAL
275/2020;NFH;25/06/2020;00060-00270132/2020-35;Bruno;437/2020;1;90251;1;X;X;DIGOXINA COMPRIMIDO 0,25MG;CP;200;PERFIL (702720);19.430.036/0001-33;200;0,6400000; R$128,00 ;01/07/2020;5080;08/07/2020;09/07/2020;14/07/2020;53952;03/08/2020;4;;;;;;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""M"""
333/2020;NFH;29/07/2020;00060-00320804/2020-61;Jefferson;534/2020;1;18458;3;X;X;ANLODIPINO (BESILATO) COMPRIMIDO 5 MG;CP;1500;PERFIL (702720);19.430.036/0001-33;1500;0,1500000; R$225,00 ;07/08/2020;5162;11/08/2020;12/08/2020;14/08/2020;71345;01/09/2020;5;;;;;;
130/2020;NUAL;22/06/2020;00060-00263453/2020-83;Robson;416/2020;1;5221;4;X;X;SACO PLÁSTICO,Material: confeccionado com matéria-prima não reciclada, atóxico, onodoro, Cor: incolor, Largura: 40 cm, Altura: 60 cm, Espessura: 0,06 micras, Características Adicionais: bobinas picotadas de 40 cm de largura x 60 cm de comprimento, que permita boa selagem, Unidade De Fornecimento: bobina;KG;400;PLASTKEN (703634);13.986.389/0001-38;384;12,0000000; R$4.608,00 ;26/06/2020;5346;22/07/2020;30/07/2020;31/07/2020;63718;18/08/2020;4;;;;;;AGULHA ANESTÉSICA PARA ELETROESTIMULAÇÃO
054/2020;NUAL;22/04/2020;00060-00166175/2020-17;Clayton;188/2020;1;20959;1;X;X;"SISTEMA DE ANESTESIA BARAKA EM BORRACHA COMPLETO (Traquéia, Com Borracha Completo Tipo Duplo T, Bolsa De Reinalação De 500 Ml - Pediátrico. Traquéia, Conexões, Bolsa, Mascara Com Coxim). Cada sistema de anestesia deverá conter: * 01 Traqueia de Silicone 30cm; * 02 Intermediários com entrada lateral; * 01 Balão de reinalação (tamanhos listados abaixo); *01 Máscara facial pediátrica; e * 01 Conector 90º. Os balões de reinalação devem ser de tamanhos variados: *2 balões de 500ml; *2 balões de 1 litro; *2 balões de 2 litros; *2 balões de 3 litros; e *2 balões de 5 litros.";UN;10;ASTEM (3864);03.864.631/0001-47;10;166,4500000; R$1.664,50 ;24/04/2020;5348;24/04/2020;24/04/2020;24/04/2020;18136;04/06/2020;3;;;;;;CARVÃO ATIVADO PÓ FRASCO OU ENVELOPE 25 G
131/2020;NUAL;24/06/2020;00060-00264768/2020-48;Clayton;424/2020;1;12176;1;X;X;"Reanimador/Ressuscitador manual adulto em silicone (tipo Ambú - BMV) - Aplicação: ventilação pulmonar manual; Composição: máscara facial, balão de ventilação, reservatório para oxigênio, conectores e válvulas. Material: máscara facial - sendo o coxim em silicone e o bojo em policarbonato ou material similar de alta resistência a impacto; balão de ventilação - em silicone resistente com capacidade para + ou - 1500ml; reservatório para oxigênio - confeccionado em material maleável e resistente com capacidade compatível com o tamanho adulto; válvulas/conectores - em policarbonato transparente ou material similar de alta resistência a impacto. Características adicionais: o produto deverá oferecer fácil manuseio; ser totalmente desmontável e lavável; AUTOCLAVÁVEL; apresentar balão maleável com válvulas/conectores que garanta segurança na assistência ventilatória manual ao paciente; válvula de segurança da pressão do ar insuflável que ofereça perfeito ajuste a máscara ou ao tubo orotraqueal , com fluxo uniderecional que impeça a reinalação de gases; válvula de admissão de oxigênio ajustável a fonte com disposito que impeça o escape de ar no momento da insuflação. Apresentação: acondicionado em bolsa individual. Código SES: 12176
**ENVIAR IMAGENS E DESCRITIVO DETELHADO DO ITEM COTADO.**";UN;40;ASTEM (3864);03.864.631/0001-47;30;213,2500000; R$6.397,50 ;29/06/2020;5647;30/06/2020;01/07/2020;13/07/2020;46998;21/07/2020;4;;;;;;ONDANSETRONA COMPRIMIDO 8 MG
152/2020;NUAL;09/07/2020;00060-00294157/2020-24;Jefferson;479/2020;1;200724;3;X;X;MÁSCARA DE OXIGÊNIO NÃO REINALANTE: em plástico siliconizado no tamanho médio.;UM;400;ASTEM (3864);03.864.631/0001-47;50;23,5500000; R$1.177,50 ;07/07/2020;5728;22/07/2020;23/07/2020;23/07/2020;53973;03/08/2020;4;;;;;;NOREPINEFRINA (HEMITARTARATO
018/2020;NECFM;13/05/2020;00060-00188544/2020-22;Oberdan;241/2020;1;CEN01;1;;;Conserto de uma centrifuga da marca FANEM, n°de Patrimônio 1152310;Serviço;1;ASTEM (3864);03.864.631/0001-47;1;5708,9000000; R$5.708,90 ;10/06/2020;5730;22/07/2020;03/08/2020;04/08/2020;63801;18/08/2020;4;;;;;;SONDA URETRAL Nº 12
018/2020;NECFM;13/05/2020;00060-00188544/2020-22;Oberdan;241/2020;1;CEN05;1;;;Conserto de uma centrifuga da marca FANEM, n°de Patrimônio 1152313 MOD. 206 BL;Serviço;1;ASTEM (3864);03.864.631/0001-47;1;4389,9000000; R$4.389,90 ;10/06/2020;5730;22/07/2020;03/08/2020;04/08/2020;63801;18/08/2020;4;;;;;;CATETER NASAL ADULTO
018/2020;NECFM;13/05/2020;00060-00188544/2020-22;Oberdan;241/2020;1;CEN03;1;;;Conserto de uma centrifuga da marca FANEM, n°de Patrimônio 1152314;Serviço;1;ASTEM (3864);03.864.631/0001-47;1;4885,6500000; R$4.885,65 ;10/06/2020;5730;22/07/2020;03/08/2020;04/08/2020;63801;18/08/2020;4;;;;;;"LUVA DE PROCEDIMENTO NÃO ESTÉRIL DE LÁTEX TAMANHO ""M"""
220/2020;NFH;04/06/2020;00060-00232312/2020-19;Jefferson;350/2020;1;12814;1;X;X;MASCARA DE NAO-REINALAÇAO - MODELO ADULTO SISTEMA COMPLETO, Tamanho: adulto, Características Adicionais: máscara para oxigenioterapia em vinil macio e transparente facilitando avaliação visual, com presilha ajustável de nariz para fixação confortável. Faixa elástica ajustável à face do paciente. Válvula de controle de baixa resistência, previne a reinalação de gases e duas membranas na máscara permitem a eliminação do gás exalado. Sistema completo, com bolsa reservatória de capacidade mínima de 750ml e tubo de suprimento de oxigênio com no mínimo 2,00m de comprimento. Permite terapia com até 100% de O2.;UN;300;ASTEM (3864);03.864.631/0001-47;300;23,5500000; R$7.065,00 ;09/06/2020;6037;28/09/2020;29/09/2020;01/10/2020;15758;09/11/2020;6;;;;;;VARFARINA SODICA COMPRIMIDO 5 MG
152/2020;NUAL;09/07/2020;00060-00294157/2020-24;Jefferson;479/2020;1;200724;3;X;X;MÁSCARA DE OXIGÊNIO NÃO REINALANTE: em plástico siliconizado no tamanho médio.;UM;400;ASTEM (3864);03.864.631/0001-47;50;23,5500000; R$1.177,50 ;07/07/2020;6037;28/09/2020;29/09/2020;01/10/2020;18111;11/11/2020;6;;;;;;MIDAZOLAM SOLUCAO INJETAVEL 5 MG/ML AMPOLA 10 ML
037/2020;NECFM;22/07/2020;00060-00312082/2020-71;Oberdan;514/2020;1;BAQ12;1;;;CONSERTO DE BERÇO AQUECIDO -Marca FANEM, Modelo Intensive Care Unit 2085, Nº Patrimônio 1354783;Serviço;1;ASTEM (3864);03.864.631/0001-47;1;4063,9500000; R$4.063,95 ;23/09/2020;6043;29/09/2020;14/10/2020;19/10/2020;18095;11/11/2020;6;;;;;;
038/2020;NECFM;22/07/2020;00060-00312128/2020-51;Oberdan;513/2020;1;INC05;1;;;Conserto de INCUBADORA,Marca FANEM, Modelo IT 158 TS, Nº Patrimônio 159422 .;Serviço;1;ASTEM (3864);03.864.631/0001-47;1;3070,4500000; R$3.070,45 ;23/09/2020;6044;29/09/2020;30/09/2020;01/10/2020;14633;06/11/2020;6;;;;;;
182/2020;NUAL;02/10/2020;00060-00420173/2020-89;Jefferson;685/2020;2;27495;1;X;X;MÁSCARA FACIAL MULTISTRAP ou similares para VNI - Tamanho: G, em plástico atóxico, flexível e transparente com coxim siliconado inflável, com abertura central com ganchos para fixação.;UN;30;ASTEM (3864);03.864.631/0001-47;10;81,7500000; R$817,50 ;20/10/2020;6136;22/10/2020;23/10/2020;23/10/2020;14905;06/11/2020;6;IMAGEM NO SIS;;;;;
278/2020;NFH;29/06/2020;00060-00275511/2020-11;Jefferson;451/2020;1;90458;3;X;X;ROCURÔNIO SOLUÇÃO INJETÁVEL 10 MG/ML FRASCO AMPOLA 5ML;FA;200;MEDCOM 0003 (703839);25.211.499/0003-79;200;10,4900000; R$2.098,00 ;03/07/2020;6382;17/07/2020;20/07/2020;21/07/2020;54215;03/08/2020;4;;;;;;AZITROMICINA COMPRIMIDO 500 MG
001/2020;NAGMP;28/04/2020;00060-00171043/2020-15;Oberdan;196/2020;1;DET01;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES HRG;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;2950,0000000; R$2.950,00 ;08/05/2020;7119;13/05/2020;14/05/2020;14/05/2020;3286;01/06/2020;3;;;;;;CEFTAZIDIMA PO PARA SOLUCAO INJETAVEL 1 G FRASCO AMPOLA
002/2020;NAGMP;03/06/2020;00060-00227054/2020-59;Oberdan;324/2020;1;DET02;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES UBS 1 Gama;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;250,0000000; R$250,00 ;15/06/2020;7324;06/07/2020;31/08/2020;22/06/2020;3293;20/07/2020;4;;;;;;OMEPRAZOL PO LIOFILIZADO PARA SOLUCAO INJETAVEL 40 MG FRASCO AMPOLA + SOLUCAO DILUENTE (AMPOLA 10 ML)
002/2020;NAGMP;03/06/2020;00060-00227054/2020-59;Oberdan;324/2020;2;DET03;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES UBS 2 Gama;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;250,0000000; R$250,00 ;16/06/2020;7324;06/07/2020;31/08/2020;22/06/2020;3293;20/07/2020;4;;;;;;BISACODIL DRAGEA 5 MG 
002/2020;NAGMP;03/06/2020;00060-00227054/2020-59;Oberdan;324/2020;3;DET04;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES UBS 3 Gama;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;250,0000000; R$250,00 ;17/06/2020;7324;06/07/2020;31/08/2020;22/06/2020;3293;20/07/2020;4;;;;;;DILTIAZEM (CLORIDRATO) COMPRIMIDO 60 MG
002/2020;NAGMP;03/06/2020;00060-00227054/2020-59;Oberdan;324/2020;4;DET05;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES UBS 4 Gama;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;250,0000000; R$250,00 ;18/06/2020;7324;06/07/2020;31/08/2020;22/06/2020;3293;20/07/2020;4;;;;;;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG
002/2020;NAGMP;03/06/2020;00060-00227054/2020-59;Oberdan;324/2020;5;DET06;1;;;DETETIZAÇÃO E DESRATIZAÇÃO CONTROLE E EXTERMINIO DE PRAGA E VETORES UBS 5 Gama;Serviço;1;CRUZEIRO (703877);22.575.793/0001-00;1;250,0000000; R$250,00 ;19/06/2020;7324;06/07/2020;31/08/2020;22/06/2020;3293;20/07/2020;4;;;;;;GLICAZIDA
049/2020;NUAL;16/04/2020;00060-00159811/2020-54;Jefferson;179/2020;1;619;2;X;X;PAPEL CÓPIA XEROGRÁFICA,  Material: sulfite, Gramatura: 75g/m2, Comprimento: 297 mm, Largura: 210 mm, Cor: branca, Unidade De Fornecimento: pacote com 500 folhas, Formato A4. Fornecimento: Resma pacote com 500 folhas, Formato: A-4.;UN;130;SHOPPING DO ALUNO (700790);04.068.690/0001-71;190;19,7100000; R$3.744,90 ;22/04/2020;7518;23/04/2020;23/04/2020;24/04/2020;18187;04/06/2020;3;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 8,5
052/2020;NUAL;22/04/2020;00060-00165981/2020-78;Jefferson;186/2020;1;35477;1;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Formato: retangular, Tamanho/Capacidade: 28 LITROS, Características Adicionais: reforçada, com tampa e presilhas, empilhável, Altura: mínimo 20 cm, Largura: mínimo 38,5 cm, Comprimento: mínimo 56,5 cm, Cor: a escolher.;UN;10;SHOPPING DO ALUNO (700790);04.068.690/0001-71;10;59,4000000; R$594,00 ;28/04/2020;7572;28/04/2020;29/04/2020;04/05/2020;18066;04/06/2020;3;;;;;;
108/2019;NUAL;17/10/2019;00060-00432354/2019-14;Robson;.362/2019;4;27242;1;X;X;ALICATE DE CORTE DIAGONAL - Fabricado em aço cromo-vanádio, arestas de corte com ajuste preciso, temperadas por indução, cabo antideslizante com abas protetoras para maior conforto.;UN;1;FERRAGENS LÍDER (700064);01.649.554/0001-87;1;12,0000000; R$12,00 ;19/12/2019;7605;23/12/2019;23/12/2019;23/12/2019;44882;24/01/2020;A/A;;;;;;JOGO CHAVE FENDA
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;1;31330;1;X;X;JOGO DE CHAVE ALLEN. Aplicação/Finalidade: utilização na manutenção de equipamentos mecânicos. Material/Composição: aço com tratamento superficial oxidado. Tamanho: componentes com 6, 7, 8 e 9,50 mm (milímetros). Características Adicionais: formatos hexagonais, medida referência 1, 27 a 10. Processo de Esterilização: não se aplica. Forma de Apresentação: ferramenta. Prazo de Validade: indeterminado. Unidade de Estoque: jogo - JG.;UN;1;FERRAGENS LÍDER (700064);01.649.554/0001-87;1;37,1000000; R$37,10 ;19/12/2019;7606;23/12/2019;23/12/2019;23/12/2019;44894;24/01/2020;A/A;;;;;;0
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;4;2215;1;X;X;JOGO DE CHAVE DE BOCA;JG;1;FERRAGENS LÍDER (700064);01.649.554/0001-87;1;53,0000000; R$53,00 ;19/12/2019;7606;23/12/2019;23/12/2019;23/12/2019;44894;24/01/2020;A/A;;;;;;0
060/2020;NFH;04/03/2020;00060-00082957/2020-02;Robson;083/2020;2;90533;1;X;X;ACIDO TRANEXAMICO SOLUCAO INJETAVEL 50 MG/ML AMPOLA 5 ML;AMP;300;JRG (701950);04.380.569/0001-80;300;3,3000000; R$990,00 ;17/03/2020;7694;17/03/2020;24/03/2020;30/03/2020;90429;14/04/2020;2;;;;;;
031/2019;NECFM;04/09/2019;00060-00363736/2019-91;Oberdan;.301/2019;1;OPU03;1;;;Conserto Oximetro Pat.: 1235382;Serviço;1;BIOLOG (396);00.673.426/0001-06;1;468,0000000; R$468,00 ;25/10/2019;7947;26/12/2019;30/12/2019;30/12/2019;44848;24/01/2020;A/A;;;;;;TESTE RAPIDO TROPONINA
