Name;Acrilico;Diversos / Problematico;Eletrica, Hidra˙lica, Marcenaria, Serralheria;Equipamentos - PeÁas e ServiÁos;Fios de Sutura;Fisioterapia;Gases Medicinais;Instrumental Cir˙rgico;LaboratÛrio;Lavanderia, Hotelaria;Medicamentos;Material Medico;Odonto;Papelaria, Inform·tica;Radiologia;ServiÁos Gr·ficos;DedetizaÁ„o;;;;;;;;;;;;;;;
EDJ;;;;;;;;X;;X;;X;;;;;;comercial.nrgoias@gmail.com;;;;;;;;;;;;;;
EDJ 2;;;;;;;;X;X;X;X;X;;;;;;contato.edj@gmail.com;;;;;;;;;;;;;;
EDLO;;;;X;;;;;;;;;;;;;;fabio@edlo.com.br;;;;;;;;;;;;;;
EDLO;;;;X;;;;;;;;;;;;;;LICITACOES@edlo.com.br;;;;;;;;;;;;;;
EDNALDO;;;X;;;;;;;;;;;;;;;ferreira.isac1999@gmail.com;;;;;;;;;;;;;;
EGS;;;;;;;;;;;X;X;;;;;;egs.hospitalar@gmail.com;;;;;;;;;;;;;;
EL REFORMAS;;;X;;;;;;;;;;;;;;;eelreformas@hotmail.com;;;;;;;;;;;;;;
ELETRICA ESTRELA;;;X;;;;;;;;;;;;;;;ceilandia@eletricaestrela.com.br;;;;;;;;;;;;;;
ELETRICA PIST√O;;;X;X;;;;;;;;;;;;;;FRANCIVALDO@VULCAODABORRACHA.COM.BR;;;;;;;;;;;;;;
EL…TRICA REGIONAL;;;X;X;;;;;;;;;;;;;;eletricaregional@gmail.com;;;;;;;;;;;;;;
ELETRO JR;;;X;;;;;;;;;;;;;;;eletrojr.97@gmail.com;;;;;;;;;;;;;;
ELETRO TERRIVEL;;;X;;;;;;;;;;;;;;;licitacao03@eletroterrivel.com.br;;;;;;;;;;;;;;
ELETROHOSPITALAR;;;;X;;;;;;;;;;;;;;atendimento.eletrospitalar@gmail.com;;;;;;;;;;;;;;
ELETROHOSPITALAR;;;;X;;;;;;;;;;;;;;tecnico@eletrospitalar.com.br;;;;;;;;;;;;;;
ELETROHOSPITALAR;;;;X;;;;;;;;;;;;;;atendimento@eletrospitalar.com.br;;;;;;;;;;;;;;
ELETROHOSPITALAR;;;;X;;;;;;;;;;;;;;jornei.monteiro.eletrospitalar@gmail.com;;;;;;;;;;;;;;
ELETROSPITALAR;;;;X;;;;;;;;;;;;;;jornei.monteiro@eletrospitalar.com.br;;;;;;;;;;;;;;
ELLO;;;;;;;;X;X;;;X;X;X;;;;wagnermonteiro2804@gmail.com;;;;;;;;;;;;;;
EMEDCAL;;;;;;;;;X;;X;X;;;;;;emedcal@emedcal.com;;;;;;;;;;;;;;
EMEDCAL - CELSO;;;;;;;;;;;;X;;;;;;celso.brun@emedcal.com;;;;;;;;;;;;;;
EMEDCAL - EMILLE;;;;;;;;;;;;X;;;;;;emille@emedcal.com;;;;;;;;;;;;;;
Emernegildo Junior;;;;;;;X;X;X;X;X;X;X;;X;;;alexcilenio@alfahospitalar.bsb.br;;;;;;;;;;;;;;
ENGENHARIA ATENAS;;;;X;;;;;;;;;;;;;;engenhariatenas@gmail.com;;;;;;;;;;;;;;
ENGENHARIA CLIçNICA - HRSM;;X;;;;;;;;;;;;;;;;engenhariaclinica.hrsm@gmail.com;;;;;;;;;;;;;;
EPROM;;;;X;;;;;;;;;;;;;;eprom.equipamentos@hotmail.com;;;;;;;;;;;;;;
ERIDATA TELEINFORM√ÅTICA;;;;X;;;;;;;;;;;;;;eridata@globo.com;;;;;;;;;;;;;;
ESPIRITO SANTO;;;;;;;;;;;X;;;;;;;vendas06.espsantohospitalares@gmail.com;;;;;;;;;;;;;;
…TICA ;;;;;;;;X;X;X;X;X;X;X;;;;eticahospitalargo@gmail.com;;;;;;;;;;;;;;
…TICA - SILVANA;;;;;;;;X;X;X;X;X;X;X;;;;silvanarochalima@hotmail.com;;;;;;;;;;;;;;
EUROMEDICAL;;;;;;;;X;;;;;;;;;;vendas@euromedicalinstrumental.com.br;;;;;;;;;;;;;;
EXCEL NCIA SA⁄DE;;;;;;;;X;;;;;;;;;;excelenciasaude@excelenciasaude.com.br;;;;;;;;;;;;;;
FABIOSARRES;;;;X;;;;;;;;;;;;;;fabiosarres@hotmail.com;;;;;;;;;;;;;;
FARMAÅCIA - HRSM;;X;;;;;;;;;;;;;;;;farmaciacentral.hrsm@gmail.com;;;;;;;;;;;;;;
FARMACE;;;;;;;;;;;X;;;;;;;licitacao@farmace.com.br;;;;;;;;;;;;;;
FARMACE COTA«√O;;;;;;;;;;;X;;;;;;;licitacao.cotacao4@farmace.com.br;;;;;;;;;;;;;;
FARMACIA - HRG;;X;;;;;;;;;;;;;;;;farhrg@gmail.com;;;;;;;;;;;;;;
FARMACONN;;x;;;;;;;;;;;;;;;;comercial@farmaconn.com.br;;;;;;;;;;;;;;
FARMARIN;;;;;;;;;;;X;X;;;;;;vendas1@farmarin.com.br;;;;;;;;;;;;;;
FARMARIN - Thaissa;;;;;;;;;;;X;X;;;;;;thaissa.farmarin@gmail.com;;;;;;;;;;;;;;
FARMARIN 2;;;;;;;;;;;X;X;;;;;;vendas2@farmarin.com.br;;;;;;;;;;;;;;
FDF MEDICAMENTOS;;;;;;;;;;;X;X;;;;;;COMERCIALFDFHOSPITALAR@GMAIL.COM;;;;;;;;;;;;;;
FDF MEDICAMENTOS 2;;;;;;;;;;;X;X;;;;;;COMPRASFDF@GMAIL.COM;;;;;;;;;;;;;;
FENIX MATERIAIS CONSTRU«√O;;;X;;;;;;;;;;;;;;;fenix.licitacao2017@gmail.com;;;;;;;;;;;;;;
FERRAGENS BRILHAR;;;X;;;;;;;;;;;;;;;eletricabrilhar@hotmail.com;;;;;;;;;;;;;;
FERRAGENS GAMA;;;X;;;;;;;;;;;;;;;waferragens@yahoo.com.br;;;;;;;;;;;;;;
FERRAGENS GAMA - ADRIANO;;;X;;;;;;;;;;;;;;;adrianoweslei@yahoo.com.br;;;;;;;;;;;;;;
FERRAGENS LÕçDER;;;X;;;;;;;;;;;;;;;ferragenslider1@uol.com.br;;;;;;;;;;;;;;
FERRAGENS LIDER 2;;;X;;;;;;;;;;;;;;;ferragenslider@uol.com.br;;;;;;;;;;;;;;
FJ COM√âRCIO;;;;;;;;;;;;X;;;;;;comercial@fjcomercio.com.br;;;;;;;;;;;;;;
FLTS;;;;;;;;;;;X;X;;;;;;alex@fltshospitalares.com.br;;;;;;;;;;;;;;
FLUKKA;;;;;;;;;;;;X;;;;;;felipe@flukka.com.br;;;;;;;;;;;;;;
FLUKKA - ALPROSTADIL;;;;;;;;;;;X;;;;;;;vendas6@flukka.com.br;;;;;;;;;;;;;;
FLUKKA - ALPROSTADIL;;;;;;;;;;;X;;;;;;;formulasmagistrais.cotacao@hotmail.com;;;;;;;;;;;;;;
FMC;;;;;;;;;;;;X;;;;;;pedidos@fmc-ag.com;;;;;;;;;;;;;;
FOLHA DEDETIZADORA;;;;;;;;;;;;;;;;;X;contato@folhadedetizadora.com.br;;;;;;;;;;;;;;
FORLAB;;;;;;;;;X;;;;;;;;;info@forlabexpress.com.br;;;;;;;;;;;;;;
FORTY DISTRIBUIDORA;;;;;;;;;;X;;;;;;;;distribuidoraforty@gmail.com;;;;;;;;;;;;;;
FPS REPRESENTA«’ES;;;;;;;;X;;;;X;;;;;;fpsrepcomercio@gmail.com;;;;;;;;;;;;;;
FRADEL;;X;;;;;;;;;;;;;;;;fradelmed@terra.com.br;;;;;;;;;;;;;;
FRAGA HOSPITALAR;;;;;;;;X;;;;;;;;;;comercial3@fragahospitalar.com.br;;;;;;;;;;;;;;
FREITASREFRIGERACAO;;;;X;;;;;;;;;;;;;;freitasrefrigeracao@gmail.com;;;;;;;;;;;;;;
FRESENIUS;;;;;;;;;;;;X;;;;;;pedidos@fmc-ag.com;;;;;;;;;;;;;;
FRESENIUS;;X;;;;;;;;;;;;;;;;licitacao@fmc-ag.com;;;;;;;;;;;;;;
FRESENIUS - EDGAR;;;;;;;;;;;;X;;;;;;edgar.mota@fmc-ag.com;;;;;;;;;;;;;;
FRESENIUS - GABRIELA;;;;;;;;;;;;X;;;;;;gabriela.moura@fmc-ag.com;;;;;;;;;;;;;;
FRESENIUS - INGRYD;;x;;;;;;;;;;;;;;;;ingryd.oliveira@fmc-ag.com;;;;;;;;;;;;;;
FRESENIUS - NIELSEN;;;;;;;;;;;;X;;;;;;nielsen.faria@fmc-ag.com;;;;;;;;;;;;;;
FS NEGOCIOS;;;;X;;;;;;;;X;;;;;;contato@fsnegocios.com.br;;;;;;;;;;;;;;
G.A.C. FREITAS;;;;;;;;;;X;;;;;;;;maurosiriosimon@hotmail.com;;;;;;;;;;;;;;
GA HOSPITALAR;;;;;;;;X;X;X;X;X;;;;;;gahospitalaradm@gmail.com;;;;;;;;;;;;;;
GAMACORP;;;;;;;;;;;X;X;;;;;;vendas@gamacorphospitalar.com.br;;;;;;;;;;;;;;
GAMACORP - JOS…;;;;;;;;;;;X;X;;;;;;jotaray@gmail.com;;;;;;;;;;;;;;
GARCIA;;;X;;;;;;;;;;;;;;;comercialgarciabsb@gmail.com;;;;;;;;;;;;;;
Gefferson Ribeiro;;;X;;;;;;;;;;;;;;;madeireiraribeiro@yahoo.com.br;;;;;;;;;;;;;;
GENERAL;;;;;;;;;;;;X;;;;;;vendas@generalmed.com.br;;;;;;;;;;;;;;
GENERALMED;;;;;;;;;;X;;X;;;;;;vendas@generalmed.com.br;;;;;;;;;;;;;;
GENETICA;;;;;;;;X;X;;;X;;;;;;cotacao@geneticabrasil.com.br;;;;;;;;;;;;;;
GENETICA - DANIEL;;;;;;;;X;X;;;X;;;;;;daniel.pellissaro@geneticabrasil.com.br;;;;;;;;;;;;;;
GENETICA - LUDMILLA;;;;;;;;;X;;X;X;;;;;;ludmilla@geneticabrasil.com.br;;;;;;;;;;;;;;
GLOBAL 2;;;;;;;;;;;X;X;;;;;;televendas2@globalhospitalar.com.br;;;;;;;;;;;;;;
GLOBAL HOSPITALAR;;;;;;;;;;;X;X;;;;;;televendas11@globalhospitalar.com.br;;;;;;;;;;;;;;
GMANUTENCOES;;;;X;;;;;;;;;;;;;;V.GMANUTENCOES@HOTMAIL.COM;;;;;;;;;;;;;;
GOIANIA M…DICA;;;;;;;;X;X;;X;X;X;;;;;licitacao@goianiamedica.com.br;;;;;;;;;;;;;;
GRANMEDICA;;;;X;;;;;;;;X;;X;;;;granmedica.negocios@gmail.com;;;;;;;;;;;;;;
GRIFOLS;;;;X;;;;;X;;X;;;;;;;joao.oliveira@grifols.com;;;;;;;;;;;;;;
GRUPO ELFA4;;;;;;;;;;;X;;;;;;;licitacao@grupoelfa.com.br;;;;;;;;;;;;;;
HAOXI;;;;X;;;;;;;;X;;;;;;vendas@haoxi.com.br;;;;;;;;;;;;;;
HAOXI;;;;X;;;;;;;;X;;;;;;vendas1@haoxi.com.br;;;;;;;;;;;;;;
HAOXI;;;;X;;;;;;;;X;;;;;;vendas2@haoxi.com.br;;;;;;;;;;;;;;
HARTE;;;;;;;;X;;;;;;;;;;contato@harteinstrumentos.com.br;;;;;;;;;;;;;;
HATRIL;;X;;;;;;;;;;;;;;;;edgar@hatril.com.br;;;;;;;;;;;;;;
HATRIL;;X;;;;;;;;;;;;;;;;elver@hatril.com.br;;;;;;;;;;;;;;
HATRIL;;;;X;;;;;;;;;;;;;;ana@hatril.com.br;;;;;;;;;;;;;;
HELP DAS PISCINAS;;;;;;;;;;;;;;;;;X;helpdaspiscinasme@gmail.com;;;;;;;;;;;;;;
HEMOGRAM - Vyttra;;;;;;;;;X;;;;;;;;;marcia.pacheco@vyttra.com;;;;;;;;;;;;;;
HIDROLIGHT;;;;;;X;;;;;;;;;;;;antonio-rangel@uol.com.br;;;;;;;;;;;;;;
HOLPEMED;;;;;;;;;;;;X;;;;;;pdpasholpemed@gmail.com;;;;;;;;;;;;;;
HOSPCOM;;;;X;;;;;;;;;;;;;;pdpasholpemed@gmail.com;;;;;;;;;;;;;;
HOSPDROGAS;;;;;;;;;X;;X;X;;;;;;hospdrogas@hospdrogas.com.br;;;;;;;;;;;;;;
HOSPDROGAS - …LIKA;;;;;;;;;X;;X;X;;;;;;elika.freire@hospdrogas.com.br;;;;;;;;;;;;;;
HOSPDROGAS - HERMILTON;;;;;;;;;X;;X;X;;;;;;hermilton@hospdrogas.com.br;;;;;;;;;;;;;;
HOSPDROGAS - HERMILTON 2;;;;;;;;;X;;X;X;;;;;;araujo.venda@hotmail.com;;;;;;;;;;;;;;
HOSPFAR;;;;;;;;;X;;X;X;X;;X;;;televendasbsb@hospfar.com;;;;;;;;;;;;;;
HOSPFAR - EDUARDO;;X;;;;;;;;;;;;;;;;eduardosousa@hospfar.com.br;;;;;;;;;;;;;;
HOSPFAR - EDUARDO;;;;;;;;;X;;X;X;X;;X;;;egs.hospitalar@gmail.com;;;;;;;;;;;;;;
HOSPFAR - ELAINE;;X;;;;;;;;;;;;;;;;elaine@hospfar.com.br;;;;;;;;;;;;;;
HOSPFAR - HELLEN;;X;;;;;;;;;;;;;;;;hellen@hospfar.com.br;;;;;;;;;;;;;;
HOSPFAR - ISABELA;;;;;;;;;X;;X;X;X;;X;;;isabela@dfhospitalar.com.br;;;;;;;;;;;;;;
HOSPFAR - RENATO;;X;;;;;;;;;;;;;;;;renato.costa@hospfar.com.br;;;;;;;;;;;;;;
HOSPFAR - RICARDO;;X;;;;;;;;;;;;;;;;ricardo.hospfar@gmail.com;;;;;;;;;;;;;;
hospitalardelta;;;;X;;;;;;;;;;;;;;contato@befbrasil.com.br ;;;;;;;;;;;;;;
HOSPMED;;;;;X;;;X;X;;;X;X;;;;;hospmed.vendas02@gmail.com;;;;;;;;;;;;;;
HOSPMED - MARLENE;;;;;X;;;X;X;;;X;X;;;;;marlene@hospmedgo.com.br;;;;;;;;;;;;;;
HOSPTEC - MESSIAS;;;;;;;;;X;;;X;;;;;;messias.hospitech@gmail.com;;;;;;;;;;;;;;
HOSPTEC - VIT”RIA;;;;;;;;;X;;;X;;;;;;licitacao01@hosptech-go.com.br;;;;;;;;;;;;;;
HOSPTEC - VIT”RIA;;;;;;;;;X;;;X;;;;;;vendas01@hosptech-go.com.br;;;;;;;;;;;;;;
HOSPTEC - VIT”RIA;;x;;;;;;;;;;;;;;;;vitoria.hospitech@gmail.com;;;;;;;;;;;;;;
HOSPTEL;;;;;;;;;;X;;X;;;;;;hosptel@hosptel.com.br;;;;;;;;;;;;;;
HUMAN TEC;;;;X;;;;X;;;;;;;;;;vinicius.lemarc@humantecbrasil.com;;;;;;;;;;;;;;
HYPER MEDICAL;;;;;;;;;;X;;X;;;;;;julliar@icloud.com;;;;;;;;;;;;;;
IBF;;;;;;;;;;;;;;;X;;;ajulie@ibf.com.br;;;;;;;;;;;;;;
IBF 2;;;;;;;;;;;;;;;X;;;slrocque@ibf-mail.com.br;;;;;;;;;;;;;;
IH;;;;X;;;;;;;;;;;;;;mcsl@ih.com.br;;;;;;;;;;;;;;
IMPERIAL AR;;;X;X;;;;;;;;;;;;;;tiagodf20092009@hotmail.com;;;;;;;;;;;;;;
IMPRIMINDO;;;X;;;;;;;;;X;;X;;X;;imprimindo.contato@gmail.com;;;;;;;;;;;;;;
IMPRIMINDO - KARLA;;;X;;;;;;;;;X;;X;;X;;karla.vendas3@gmail.com;;;;;;;;;;;;;;
INDUMED;;;;;;;;;;;;X;;;;;;edi@indumed.com.br;;;;;;;;;;;;;;
INFINITY PHARMA;;;;;;;;;X;X;X;X;;;;;;comercial@infinitypharmadf.com.br;;;;;;;;;;;;;;
INOCSOM;;;;X;;;;;;;;;;;;;;contato@inocsom.com.br;;;;;;;;;;;;;;
INSIGHT MED;;X;;;;;;;;;;;;;;;;vendas@insightmedgo.com;;;;;;;;;;;;;;
INSIGHT MED - Leticia;;X;;;;;;;;;;;;;;;;vendas@insightmedgo.com;;;;;;;;;;;;;;
INTERDENTAL;;;;;;;;;;;;;X;;;;;interdental@netsite.com.br;;;;;;;;;;;;;;
ISP SAUDE;;;;;;;;;;;;X;;;;;;michaelsilveira@ispsaude.com.br;;;;;;;;;;;;;;
ITATIAIA ATACADISTA;;;X;;;;;;;;;;;;;;;licitacao@itatiaiaatacadista.com.br;;;;;;;;;;;;;;
ITAUAR REFRIGERA«√O;;;X;X;;;;;;;;;;;;;;itauar.refrigeracao@gmail.com;;;;;;;;;;;;;;
ITS FACILITIE;;X;X;X;;;;X;X;X;;;;X;;;X;tmartinh@its.jnj.com;;;;;;;;;;;;;;
ITS FACILITIE;;X;X;X;;;;X;X;X;;;;X;;;X;itsservicosgerais@gmail.com;;;;;;;;;;;;;;
JA COMERCIAL;;;;;;;;X;X;;X;X;;;;;;jacomercialdf@hotmail.com;;;;;;;;;;;;;;
JD PAPELARIA;;;X;;;;;;;;;;;X;;;;comercialrio2@hotmail.com;;;;;;;;;;;;;;
JJT AMARAL;;;;;;;;;X;;X;X;;;;;;jacksonjohnamaral@gmail.com;;;;;;;;;;;;;;
JN MAQUINAS;;;;X;;;;;;;;;;;;;;jnmaquinasdf@gmail.com;;;;;;;;;;;;;;
JO√O MED;;;;;;;;;;;X;X;;;;;;vendas12@joaomed.com.br;;;;;;;;;;;;;;
JR LACERDA;;;;;;;;;;;;X;;;;;;vendasjrlacerda@outlook.com;;;;;;;;;;;;;;
KADU DEDETIZADORA;;;;;;;;;;;;;;;;;X;kadudedetizadora@hotmail.com;;;;;;;;;;;;;;
KOLPLAST - SUSANA;;;;;;;;;;;;X;;;;;;anapaula.oliveira@kolplast.com.br;;;;;;;;;;;;;;
KOMPAZO - FERNANDO;;;;X;;;;X;;;;X;;;;;;fernando@kompazosaude.com.br;;;;;;;;;;;;;;
KONICA;;;;X;;;;;;;;;;;;;;thays.passos@konicaminolta.com;;;;;;;;;;;;;;
KT EQUIPAMENTOS;;;X;;;;;;;;;;;;;;;vendas5@ktequipamentos.com.br;;;;;;;;;;;;;;
L.M. LADEIRA;;;;;;;;;;;;;X;;;;;luket@luket.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;adriana.exec@gmail.com;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;celsogastaldo@wiener-lab.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;carlosglaser@wiener-lab.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;mariatereza@wiener-lab.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;seblazaro@gmail.com;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;licitacoes@wiener-lab.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;pedidos@wiener-lab.com.br;;;;;;;;;;;;;;
LABINBRAZ - Wiener;;;;;;;;;X;;;;;;;;;joeldson.wiener@outlook.com;;;;;;;;;;;;;;
LABORAT”RIO - HRSM;;X;;;;;;;X;;;;;;;;;npc.hrsm@saude.df.gov.br;;;;;;;;;;;;;;
LABS;;;;X;;;;;X;;X;X;X;;;;;comercial@labsdist.com;;;;;;;;;;;;;;
LABS 2;;;;X;;;;;X;;X;X;X;;;;;atendimento@labsdist.com;;;;;;;;;;;;;;
LARISSA - Casa da ConstruÁ„o;;;X;;;;;;;;;;;;;;;casadaconstrucao2014@hotmail.com;;;;;;;;;;;;;;
LASER;;;;X;;;;;;;;;;;;;;contato.laser@gmail.com;;;;;;;;;;;;;;
LAYETTE CODE;;;;;;;;;;X;;X;;;;;;layettecodevendas1@gmail.com;;;;;;;;;;;;;;
LEANDRO;;;;;;X;;;;;;;;;;;;leandroamorim.1982@gmail.com;;;;;;;;;;;;;;
LIFE FARMA;;;;;;;;;;;X;X;;;;;;lifefarmacentral@gmail.com;;;;;;;;;;;;;;
LIFE FARMA - STENIO;;;;;;;;;;;X;X;;;;;;tavares.stenio@hotmail.com;;;;;;;;;;;;;;
LIFEMED - ALEX;;;;;;;;;;;;X;;;;;;alex.mazzini@lifemed.com.br;;;;;;;;;;;;;;
LIFEMED - BEATRIZ;;;;;;;;;;;;X;;;;;;beatriz.bernardo@lifemed.com.br;;;;;;;;;;;;;;
LIFEMED - JULIANE;;X;;;;;;;;;;;;;;;;julliane.mourao@lifemed.com.br;;;;;;;;;;;;;;
LIFETRONIK;;;;;;;;;;;;X;;;;;;cotacao@lifetronikmedical.com.br;;;;;;;;;;;;;;
LIMP BEM;;;;;;;;;;X;;;;;;;;limpbemdf@gmail.com;;;;;;;;;;;;;;
LM COMUNICA«√O;X;;;;;;;;;;;;;;;;;vendas@lmcomunicacaodf.com.br;;;;;;;;;;;;;;
LM FARMA 1;;;;;;;;;;;;X;;;;;;J.SANTOS@BR.URGO.COM;;;;;;;;;;;;;;
LM FARMA 2;;;;;;;;;;;;X;;;;;;a.machado@br.urgo.com;;;;;;;;;;;;;;
LM FARMA 3;;;;;;;;;;;;X;;;;;;a.viana@br.urgo.com;;;;;;;;;;;;;;
LOTUS;;;;;;;;X;;;;X;X;;;;;vendaspdpaslottusmed@gmail.com;;;;;;;;;;;;;;
LUZ.COM;;;X;;;;;;;;;;;;;;;luzcom1@gmail.com;;;;;;;;;;;;;;
MACOM;;;;;;;;X;;;;;;;;;;macom@macominstrumental.com.br;;;;;;;;;;;;;;
MACOM - DENILSON;;;;;;;;X;;;;;;;;;;denilson@macominstrumental.com.br;;;;;;;;;;;;;;
MACOM - JAILSON;;;;;;;;;;;;;;;;;;jailson@macominstrumental.com.br;;;;;;;;;;;;;;
MACRO ENGENHARIA;;;X;;;;;;;;;;;;;;;welmaduraes@macropisos.com.br;;;;;;;;;;;;;;
MADRE;;;;;;;;;;;;X;;;;;;contato@madrenet.com.br;;;;;;;;;;;;;;
MAFRA;;X;;;;;;;;;;;;;;;;renata_mafra@terra.com.br;;;;;;;;;;;;;;
MAFRA - FACOS;;;;;;;;;X;;X;X;;;;;;facos.moura@mafrahospitalar.com.br;;;;;;;;;;;;;;
MAFRA - GIOVANA;;;;;;;;;X;;X;X;;;;;;giovana.moraes@mafrahospitalar.com.br;;;;;;;;;;;;;;
MAFRA - WESLEI;;;;;;;;;X;;X;X;;;;;;weslei.pedersoli@mafrahospitalar.com.br;;;;;;;;;;;;;;
MAIS SoluÁıes;;;X;;;;;;;;;;;;;;;maissolucoesdf@hotmail.com;;;;;;;;;;;;;;
MAKE LINE;;;;;;;;;;;;X;;;;;;licitacao@makeline.com.br;;;;;;;;;;;;;;
MANUTEC;;;;X;;;;;;;;;;;;;;manutec.solucoes@yahoo.com.br;;;;;;;;;;;;;;
MANUTEN«√O - HRSM;;X;;;;;;;;;;;;;;;;MANUTENCAO.HRSM@gmail.com;;;;;;;;;;;;;;
MARK FREEZER;;;;X;;;;;;;;;;;;;;makfreezer.licita@gmail.com;;;;;;;;;;;;;;
MARTINS - FABIO;;;;;;;;X;X;X;X;X;X;;;;;vendas01@martinsdistlog.com.br;;;;;;;;;;;;;;
MASTER DISTRIBUIDORA;;;X;X;;;;X;X;X;X;X;X;X;X;;;adm.masterdistribuidora@gmail.com;;;;;;;;;;;;;;
MASTER DISTRIBUIDORA;;;X;X;;;;X;X;X;X;X;X;X;X;;;vendas.masterdist@gmail.com;;;;;;;;;;;;;;
MASTER MED;;;X;;;;;X;;X;X;X;X;;;;;livia.comercial01@gmail.com;;;;;;;;;;;;;;
MAXIMA DENTAL;;;;;;;;;;;;;X;;;;;maximadental@licitacoes.londrina.br;;;;;;;;;;;;;;
MAYCARE;;;;X;X;;;X;;;;;;;;;;patricia@maycare.com.br;;;;;;;;;;;;;;
MAZIMUS - DIOGO;;X;;;;;;;;;;;;;;;;diogo@adeng.com.br;;;;;;;;;;;;;;
MAZIMUS - JORGE;;X;;;;;;;;;;;;;;;;jorge@adeng.com.br;;;;;;;;;;;;;;
MAZIMUS - LINDAURA;;X;;;;;;;;;;;;;;;;lindaura@adeng.com.br;;;;;;;;;;;;;;
MAZZIMUS;;;;X;;;;;;;;;;;;;;lindaura@mazimus.com.br ;;;;;;;;;;;;;;
MB TEXTIL CIRUMEX;;;;;;;;;;X;;X;;;;;;flavio.vendas@mbtextil.com.br;;;;;;;;;;;;;;
MED VITTA;;;;;;;;;;;X;X;;;;;;vendas18@medvittadist.com.br;;;;;;;;;;;;;;
MED VITTA - ALINE;;;;;;;;;;;X;X;;;;;;vendas17@medvittadist.com.br;;;;;;;;;;;;;;
MEDCAM;X;;;;;;;X;X;X;;X;X;;;X;;medcamdf@gmail.com;;;;;;;;;;;;;;
MEDCOM - ANDREA;;;;;;;;;;;;;;;;;;andrea.jesus@distribuidoramedcom.com.br;;;;;;;;;;;;;;
MEDCOM - FELIPE;;;;;;;;;;;;;;;;;;felipe.moura@distribuidoramedcom.com.br;;;;;;;;;;;;;;
MEDCOM - THAIS;;;;;;;;;;;;;;;;;;thais.silva@distribuidoramedcom.com.br;;;;;;;;;;;;;;
MEDCOMERCE;;x;;;;;;;;;;;;;;;;licitacao@medcomerce.com.br;;;;;;;;;;;;;;
MEDCOMERCE;;X;;;;;;;;;;;;;;;;licitacaobsb@medcomerce.com.br;;;;;;;;;;;;;;
MEDCOMERCE - NUBIA;;X;;;;;;;;;;;;;;;;nubia.almeida@medcomerce.com.br;;;;;;;;;;;;;;
MEDCOMERCE - VITORIA;;X;;;;;;;;;;;;;;;;vitoria.sa@medcomerce.com.br;;;;;;;;;;;;;;
MEDCOMERCE - WILLIAN;;;;;;;;;;;X;X;;;;;;william.brasilia@gmail.com;;;;;;;;;;;;;;
MEDCORP;;X;;;;;;;;;;;;;;;;rvieira@medcorp.com.br;;;;;;;;;;;;;;
MEDCORP 2;;X;;;;;;;;;;;;;;;;rnobre@medcorp.com.br;;;;;;;;;;;;;;
MEDCORP 3;;X;;;;;;;;;;;;;;;;aaraujo@medcorp.com.br;;;;;;;;;;;;;;
MEDIC;;;;X;;;;;;;;X;;;;;;medic.vitall@gmail.com;;;;;;;;;;;;;;
MEDICA PRO;;;;;;;;;;;;X;;;;;;medicapro@medicapro.com.br;;;;;;;;;;;;;;
MEDICAL INNOVATION;;X;;;;;;;;;;;;;;;;executivo.mi@terra.com.br;;;;;;;;;;;;;;
MEDICAL INNOVATION - EDUARDA;;;;X;;;;;;;;X;;;;;;comercial@medicalinnovation.com.br;;;;;;;;;;;;;;
MEDICAL INNOVATION - GILDA;;X;;;;;;;;;;;;;;;;gilda.vendas@terra.com.br;;;;;;;;;;;;;;
MEDICAL INNOVATION - LAURO;;;;X;;;;;;;;;;;;;;lauromnm@gmail.com;;;;;;;;;;;;;;
MEDICAL PE«AS;;;;X;;;;;;;;;;;;;;medicalpecas@hotmail.com;;;;;;;;;;;;;;
MEDICAL SHOP;;X;;;;;;;;;;;;;;;;medicalshop_ronaldo@terra.com.br;;;;;;;;;;;;;;
MEDICAL TECH;;;;X;;;;;;;;X;;;;;;medicaltech.vendas@hotmail.com;;;;;;;;;;;;;;
MEDICALMED;;;;;;;;;;;;;;;;;;comercial@medicalmed.com.br;;;;;;;;;;;;;;
MEDICALSHOPDF;;X;;;;;;;;;;;;;;;;deber@medicalshopdf.com.br;;;;;;;;;;;;;;
MEDICALSHOPDF2;;X;;;;;;;;;;;;;;;;ronaldo@medicalshopdf.com.br;;;;;;;;;;;;;;
MEDICINDF;;;;X;;;;;;;;;;;;;;medicindf@gmail.com;;;;;;;;;;;;;;
MEDIMAC;;;;;;;;;;;;X;;;;;;licitacao@medimac.com.br;;;;;;;;;;;;;;
MEDITEQ;;;;;;;;;;;;X;;;;;;COMERCIAL@MEDITEQ.COM.BR;;;;;;;;;;;;;;
