Entradas; 2.786.847,51 ;Empenhado;R$ 2.786.847,50;;Saldo;;R$ 0,00;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;Nº de processo SEI;Responsável;Cotação;Item;CÓDIGO;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;Qtd. S;Empresa;Qtd. A; V. unitário ;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
081/2020;NFH;30/03/2020;00060-00128146/2020-57;Bruno;126/2020;1;90925;8;X;X;CEFAZOLINA SODICA PO PARA SOLUCAO INJETAVEL 1 G FRASCO AMPOLA;AMP;1.000;SUPERMÉDICA (702730);300; R$ 17,6450 ; R$5.293,50 ;02/04/2020;79537;02/04/2020;03/04/2020;07/04/2020;90638;14/04/2020;2;;;;;;CEFAZOLINA SODICA PO PARA SOLUCAO INJETAVEL 1 G FRASCO AMPOLA
087/2020;NFH;30/03/2020;00060-00128831/2020-83;Clayton;127/2020;1;90551;5;X;X;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8,4 %        (1 MEQ/ML) FRASCO 250 ML;FR;200;RIOCLARENSE (3374);175; R$ 23,3400 ; R$4.084,50 ;02/04/2020;534112;03/04/2020;06/04/2020;07/04/2020;90492;14/04/2020;2;;;;;;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8
085/2020;NFH;30/03/2020;00060-00128758/2020-40;Robson;128/2020;1;90225;3;X;X;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG;CP;500;CIENTÍFICA (700617);480; R$ 0,3333 ; R$159,98 ;03/04/2020;115651;03/04/2020;06/04/2020;07/04/2020;97720;29/04/2020;2;;;;;;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG
084/2020;NFH;30/03/2020;00060-00128716/2020-17;Jefferson;129/2020;1;90297;3;X;X;BROMOPRIDA CAPSULA OU COMPRIMIDO 10MG;UN;1.000;VERA CRUZ (703207);1.000; R$ 0,3000 ; R$300,00 ;02/04/2020;22136;03/04/2020;06/04/2020;07/04/2020;97727;29/04/2020;2;;;;;;BROMOPRIDA
086/2020;NFH;30/03/2020;00060-00128793/2020-69;Clayton;130/2020;1;90708;3;X;X;METRONIDAZOL COMPRIMIDO 400 MG ;CP;1.000;*CANCELADO;;; R$-   ;08/04/2020;;;;;;;2;DESERTO;;;;;METRONIDAZOL COMPRIMIDO 400 MG 
029/2020;NUAL;31/03/2020;00060-00132493/2020-84;Robson;131/2020;1;35175;1;X;X;Laringoscópio, material aço inoxidável, adulto, tamanho 17cm, comissura anterior.;UN;4;*CANCELADO;;; R$-   ;14/05/2020;;;;;;;2;DESERTO;;;;;LARINGOSCÓPIO TM 17
030/2020;NUAL;31/03/2020;00060-00132492/2020-30;Jefferson;132/2020;1;19840;1;X;X;LÂMINA PARA LARINGOSCÓPIO CURVA Nº 03, Material: latão cromado, Tamanho: 12 cm, Características Adicionais: convencional acompanhada por 3 lâmpadas, Uso: reanimação em parada cardiorespiratória.;UN;10;CIRÚRGICA FERNANDES (3510);10; R$ 101,8710 ; R$1.018,71 ;06/04/2020;1204374;06/04/2020;09/04/2020;13/04/2020;97737;29/04/2020;2;;;;;;LÂMINA PARA LARINGOSCÓPIO CURVA Nº 03
031/2020;NUAL;31/03/2020;00060-00132485/2020-38;Bruno;133/2020;1;19841;1;X;X;"LÂMINA PARA LARINGOSCÓPIO CURVA Nº 04, Material: latão cromado, Tamanho: 14 cm, Características Adicionais: convencional acompanhada por 3 lâmpadas, Uso: reanimação em
parada cardiorespiratória.";UN;10;CIRÚRGICA FERNANDES (3510);10; R$ 101,8710 ; R$1.018,71 ;07/04/2020;1204958;07/04/2020;14/04/2020;15/04/2020;97745;29/04/2020;2;;;;;;LÂMINA PARA LARINGOSCÓPIO CURVA Nº 04
032/2020;NUAL;31/03/2020;00060-00132177/2020-11;Clayton;134/2020;1;17699;1;X;X;LÂMINA PARA LARINGOSCÓPIO CURVA Nº 05, Material: latão cromado, Tamanho: 16 cm, Características Adicionais: convencional acompanhada por 3 lâmpadas, Uso: reanimação em parada cardiorespiratória.;UN;10;CIRÚRGICA FERNANDES (3510);10; R$ 101,8710 ; R$1.018,71 ;03/04/2020;1203981;03/04/2020;08/04/2020;08/04/2020;97780;29/04/2020;2;;;;;;LÂMINA PARA LARINGOSCÓPIO CURVA Nº 05
033/2020;NUAL;31/03/2020;00060-00132725/2020-02;Robson;135/2020;1;29984;1;X;X;PULSEIRA DE IDENTIFICAÇÃO BRANCA,  Aplicação: Identificação para classificação de risco, Material:fibra de polietileno de alta densidade, Tamanho: Dimensão:2,0 cm (largura) x 24 cm (comprimento).  Características: polipropileno , descartável, anti-alérgica , macia e resistente, lacre com fechamento auto colante, medida: 24 x 2cm. Processo de esterilização: Não se aplica, Forma de apresentação: unidade, Prazo de validade: Não se aplica. Unidade de Estoque: Unidade (Unid);UN;18.000;*CANCELADO;;; R$-   ;31/03/2020;;;;;;;2;DEVOLVIDO;;;;;PULSEIRA DE IDENTIFICAÇÃO BRANCA
034/2020;NUAL;31/03/2020;00060-00132807/2020-49;Jefferson;136/2020;1;32735;4;X;X;"Etiqueta adesiva térmica, indicado para impressora: zebra tlp-2844 ou similar, tipo papel couchê adesivo, largura x altura 100 mm x 50 mm
Observação 1: Deve ser compatível com impressora ZEBRA GC420D.
Observação 2: Apresentação Rolo – cada um contendo 1 COLUNA com 1.000 ETIQUETAS.";RL;36;ÉTICA (703252);36; R$ 38,0000 ; R$1.368,00 ;02/04/2020;950;22/04/2020;24/04/2020;24/04/2020;18113;04/06/2020;3;;;;;;ETIQUETA ADESIVA TÉRMICA para Núcleo Segurança do Paciente
092/2020;NFH;03/04/2020;00060-00139704/2020-18;Jefferson;137/2020;1;12289;6;X;X;SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL VIA CÂNULA DE TRAQUEOSTOMIA ADULTO 16 FR, ESTÉRIL. Aplicação: aspiração de secreção traqueal via cânula de traqueostomia, Material: sonda de silicone e bainha de plástico ou silicone, Características Adicionais:  adaptável a cânulas de traqueostomia de tamanhos 8.0, 8.5 e 9.0, flexível,com sonda graduada em centímetros, que não solta a tinta ,maleável,com orifícios na extremidade de aspiração e ponta arredondada,com bainha plástica,transparente,siliconizada ou não, envolvendo a sonda,conexão em ``Y`` ou em ``T`` para adaptação/encaixe ao tubo ou cânula de traqueostomia de um lado e circuito de ventilador mecânico do outro.Via de irrigação com válvula anti-refluxo para fluidificar secreções e realizar limpeza interna da sonda e válvula para controle de vácuo ergonômica e com trava por pressão.Com conector para administração de aerossol.Livre de látex, Apresentação: embalagem individual, Unidade De Estoque: unidade(UN), Código SES: 012289. BR276325;UN;100;*CANCELADO;;; R$-   ;08/04/2020;;;;;;;2;única proposta apresentou preço muito elevado;;;;;SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL VIA CÂNULA DE TRAQUEOSTOMIA ADULTO 16 FR
093/2020;NFH;03/04/2020;00060-00139822/2020-18;Clayton;138/2020;1;17684;6;X;X;FÓRMULA INFANTIL PARA LACTENTES, 0 À 6 MESES, Aplicação: indicada para lactentes desde o nascimento até o 6º mês de vida,  Características Adicionais: à base de leite de vaca ou de outros animais ou de uma mistura destes e/ou de outros ingredientes comprovadamente adequados para alimentação de lactentes até o sexto mês de vida, sem indicações dietoterápicas específicas. Forma de Apresentação: pó, Unidade de Estoque: grama (GR).;GR;12.000;MEDCOMERCE (2756);12.000; R$ 0,0300 ; R$360,00 ;07/04/2020;448954;16/04/2020;16/04/2020;20/04/2020;97785;29/04/2020;2;;;;;;FÓRMULA INFANTIL PARA LACTENTES
094/2020;NFH;03/04/2020;00060-00140935/2020-66;Robson;139/2020;1;100373;1;X;X;PEROXIDO DE HIDROGENIO A 3% OU 10 VOLUMES - 100ML;FR;30;METHABIO (701878);30; R$ 1,1500 ; R$34,50 ;23/04/2020;10787;24/04/2020;27/04/2020;30/04/2020;32530;29/06/2020;3;liberar código - não foi paga 04/06;;;;;PEROXIDO DE HIDROGENIO A 3% OU 10 VOLUMES - 100ML
035/2020;NUAL;07/04/2020;00060-00144763/2020-08;Robson;140/2020;1;63295;8;X;X;TOUCA HOSPITALAR DESCARTÁVEL,Material: tecido não tecido, Tipo Uso: descartável, Gramatura: 20 g/m², Características Adicionais:  com elástico em toda volta (tipo elastex);UN;40.000;*CANCELADO;;; R$-   ;09/04/2020;;;;;;;2;SEDE ABASTECIDA;;;;;TOUCA HOSPITALAR
104/2020;NFH;07/04/2020;00060-00146336/2020-56;Jefferson;141/2020;1;92439;4;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 18. Aplicação: drenagem e controle da diurese. Material: Látex atóxico. Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40cm, com flexibilidade adequada ao fim a que se destina, que não cause irritação ao paciente, espessura uniforme, isenta de manchas ou quaisquer defeitos. Balão com capacidade de 30 ml, com válvula fixa que permita perfeita adaptação em seringas, e boa distensibilidade. Ponta distal arredondada e fechada, apresentando 2 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixas com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092439.  BR0277019;UN;100;ÉTICA (703252);100; R$ 3,1700 ; R$317,00 ;11/04/2020;936;13/04/2020;14/04/2020;15/04/2020;97857;29/04/2020;2;;;;;;SONDA DE FOLEY 2 VIAS LÁTEX Nº 18
103/2020;NFH;07/04/2020;00060-00146283/2020-73;Bruno;142/2020;1;92332;2;X;X;FIO DE SUTURA DE SEDA TRANCADA 2-0, 45CM, COM 01 AGULHA DE 3,0CM PONTA E CORPO CILINDRICOS 1/2 CIRCULO ;EN;240;*CANCELADO;;; R$-   ;15/04/2020;;;;;;;2;Única proposta apresentada continha item errado - DESERTO;;;;;FIO DE SUTURA DE SEDA TRANCADA 2-0
096/2020;NFH;07/04/2020;00060-00144221/2020-27;Clayton;143/2020;1;34534;7;X;X;"EQUIPO SIMPLES PARA INFUSÃO DE SOLUÇÕES PARENTERAIS, TIPO GRAVITACIONAL,INJETOR LATERAL MEMBRANA AUTO CICATRIZANTE. Aplicação: administração soluções parenterais. Características adicionais: Apirogênico, com ponta perfurante que permita conexão segura e facilite a introdução em recipientes de soluções sem risco de desconectar durante o uso, com protetor adequado; com câmara gotejadora transparente e flexível, com filtro de partículas 15 micra, entrada de ar com filtro hidrófobo e bacteriológico, que não permita vazamento em suas junções, com tubo gotejador no interior da mesma que assegure que 20 gotas sejam equivalentes a 1 ml; tubo transparente flexível, atóxico, com comprimento mínimo de 1,20m, com regulador de fluxo tipo rolete que garanta perfeito controle de gotejamento; injetor lateral com membrana autocicatrizante ou válvula Needle-Free, livre de látex; conector distal tipo 'luer-lock' giratório, que permita perfeita adaptação aos dispositivos de acesso venoso. Embalagem individual em papel grau cirúrgico, que permita a abertura em técnica asséptica, capaz de assegurar a esterilidade do produto durante o transporte, armazenamento, até o momento do uso. Apresentação: embalagem individual acondicionada em caixa. ";UN;1.200;MEDICINI (703641);1.000; R$ 1,1000 ; R$1.100,00 ;13/04/2020;2699;13/04/2020;14/04/2020;15/04/2020;97862;29/04/2020;2;;;;;;EQUIPO SIMPLES PARA INFUSÃO DE SOLUÇÕES PARENTERAIS
099/2020;NFH;07/04/2020;00060-00145154/2020-68;Robson;144/2020;1;7643;4;X;X;ISOLADOR DE PRESSAO DO MANOMETRO P/MAQUINA DE HEMODIALISE;UN;500;CIENTÍFICA (700617);1.000; R$ 0,5000 ; R$500,00 ;29/04/2020;117921;30/04/2020;04/05/2020;07/05/2020;18052;04/06/2020;3;;;;;;ISOLADOR DE PRESSAO DO MANOMETRO P/MAQUINA DE HEMODIALISE
098/2020;NFH;07/04/2020;00060-00145002/2020-65;Jefferson;145/2020;1;91060;2;X;X;ALGODAO HIDROFILO BRANCO 20CMX100CM EM ROLO 500G;RL;150;MAFRA (703141);150; R$ 9,6200 ; R$1.443,00 ;11/04/2020;324068;13/04/2020;13/04/2020;15/04/2020;98257;30/04/2020;2;;;;;;ALGODAO HIDROFILO BRANCO 20CMX100CM EM ROLO 500G
101/2020;NFH;07/04/2020;00060-00146193/2020-82;Clayton;146/2020;1;92035;6;X;X;TUBO ENDOTRAQUEAL, MATERIAL PVC SILICONIZADO ATÓXICO, TAMANHO 8.0, APLICAÇÃO ORAL, CARACTERÍSTICAS ADICIONAIS CURVA PRÉ-FORMADA, TIPO CONECTOR ADAPTÁVEL,SUPERFÍCIE LISA, TRANSMITÂNCIA LINHA RADIOPACA DE PONTA A PONTA, COMPONENTES BALÃO DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO DESCARTÁVEL, ESTERILIDADE ESTÉRIL, EMBALAGEM INDIVIDUAL.;UN;100;ARTWARE (702395);100; R$ 7,4900 ; R$749,00 ;13/04/2020;1531;17/04/2020;20/04/2020;28/04/2020;18085;04/06/2020;3;;;;;;TUBO ENDOTRAQUEAL
102/2020;NFH;07/04/2020;00060-00146238/2020-19;Robson;147/2020;1;92330;1;X;X;FIO DE SUTURA DE SEDA TRANCADA 0, 45CM, COM 01 AGULHA DE 3,0CM PONTA E CORPO CORTANTES 1/2 CIRCULO. Características Adicionais: fio 0, cor preta, comprimento 45 cm, com 1 agulha, tipo agulha ponta cortante, corpo cortante, 1/2 circulo, comprimento da agulha 3,0 cm, estéril. Forma de Apresentação: 1 fio por envelope, com identificação do lote, data de fabricação, data de validade impressos em língua portuguesa no envelope e na caixa. Deverá seguir a Norma do INMETRO ABNT 13904/2003.;EN;240;*CANCELADO;;; R$-   ;14/05/2020;;;;;;;3;DESERTO;;;;;FIO DE SUTURA DE SEDA TRANCADA 0
100/2020;NFH;07/04/2020;00060-00146126/2020-68;Jefferson;148/2020;1;33960;3;X;X;TESTE RÁPIDO PARA DETECÇÃO DOS ANTICORPOS IGG E IGM E ANTÍGENO NS1 PARA O VÍRUS DA DENGUE. Aplicação (finalidade): Destinado à detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Características adicionais: Teste imucromatográfico rápido para a detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Apresentação teste. Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega. Embalagem: Teste embalado individualmente.;TE;3.000;PMH (347);1.500; R$ 6,7500 ; R$10.125,00 ;11/04/2020;231991;13/04/2020;15/04/2020;20/04/2020;98261;30/04/2020;2;;;;;;TESTE RÁPIDO PARA DIAGNÓSTICO DE DENGUE
100/2020;NFH;07/04/2020;00060-00146126/2020-68;Jefferson;148/2020;1;33960;3;X;X;TESTE RÁPIDO PARA DETECÇÃO DOS ANTICORPOS IGG E IGM E ANTÍGENO NS1 PARA O VÍRUS DA DENGUE. Aplicação (finalidade): Destinado à detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Características adicionais: Teste imucromatográfico rápido para a detecção qualitativa dos anticorpos IgG e IgM e antígeno NS1 para o vírus da dengue. Apresentação teste. Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega. Embalagem: Teste embalado individualmente.;TE;3.000;PMH (347);1.100; R$ 6,7500 ; R$7.425,00 ;11/04/2020;232926;23/04/2020;28/04/2020;28/04/2020;18232;04/06/2020;3;;;;;;TESTE RÁPIDO PARA DIAGNÓSTICO DE DENGUE
095/2020;NFH;07/04/2020;00060-00144086/2020-10;Bruno;149/2020;1;35897;4;X;X;AGULHA ANESTÉSICA APLICAÇÃO: ANESTESIA RAQUIDIANA, MATERIAL A AÇO INOXIDÁVEL, DIMENSÃO 27G X 3 1/2´, TIPO PONTA DE LÁPIS, ISENTO DE CORTE, COM ORIFÍCIO LATERAL, COM INTRODUTOR 22 OU 23G X 1 1/4´, CONECTOR UNIVERSAL CONECTOR LUER LOCK, COM VISOR TRANSPARENTE COM TAMPA, TIPO USO DESCARTÁVEL, ESTERELIDADE ESTÉRIL.;UN;500;MAFRA (703141);500; R$ 20,2500 ; R$10.125,00 ;14/04/2020;325379;16/04/2020;16/04/2020;20/04/2020;98274;30/04/2020;2;;;;;;AGULHA ANESTÉSICA RAQUIDIANA 27G
106/2020;NFH;07/04/2020;00060-00146482/2020-81;Clayton;150/2020;1;10272;2;X;X;"GLICOSE 5 % SOLUÇAO INJETAVEL BOLSA OU FRASCO 500 ML SISTEMA FECHADO DE INFUSAO EMBALAGEM PRIMÁRIA ISENTA DE PVC. Características Adicionais: a bolsa ou o
frasco deve ter graduação volumétrica. A bolsa ou o frasco deve ter colapsabilidade a fim de pe...";UN;2.000;SUPERMÉDICA (702730);2.000; R$ 2,8900 ; R$5.780,00 ;13/04/2020;80145;13/04/2020;14/04/2020;20/04/2020;98277;30/04/2020;2;;;;;;GLICOSEE 5%
108/2020;NFH;07/04/2020;00060-00146616/2020-64;Robson;151/2020;1;92402;9;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5.000;MEDLIVE (701879);5.000; R$ 1,5800 ; R$7.900,00 ;13/04/2020;531816;14/04/2020;20/04/2020;28/04/2020;18237;04/06/2020;3;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 7
105/2020;NFH;08/04/2020;00060-00146409/2020-18;Jefferson;152/2020;1;92445;8;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14. Aplicação: para drenagem e controle da diurese e irrigação vesical. Material: Látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40 cm, apresentando flexibilidade e maleabilidade adequado ao fim a que se destina, que não cause irritação ao paciente, apresentando espessura uniforme, isenta de manchas ou quaisquer defeitos, balão com capacidade de 05 a 15 ml e boa distensibilidade, com válvula fixa que permita perfeita adaptação em seringas. Ponta arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e/ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotada nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092445. BR0279768;UN;100;PMH (347);100; R$ 2,8900 ; R$289,00 ;11/04/2020;231934;13/04/2020;13/04/2020;15/04/2020;98281;30/04/2020;2;;;;;;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14
097/2020;NFH;08/04/2020;00060-00144849/2020-22;Clayton;153/2020;1;30972;7;X;X;CATETER NASAL ADULTO, EM SILICONE, TIPO ÓCULOS, PARA OXIGENOTERAPIA. Aplicação: oxigenoterapia em paciente adulto. Material: polivinil atóxico e silicone. Características Adicionais: com extensão mínima de 2,1 em PVC, flexível com ajuste e adaptação confortável, contendo um dispositivo que se adapte às narinas, todo em silicone flexível, com haste de sustentação sobre as orelhas (como óculos). Apresentação: embalagem individual, descartável, Unidade de Estoque: Unidade (UN). Não Estéril.;UN;500;NL SUPERMEDICAL (700820);500; R$ 3,1000 ; R$1.550,00 ;09/04/2020;23788;13/04/2020;14/04/2020;16/04/2020;"98289*
000557";"30/04/2020
05/05/2020";2;*TED paga no segundo mas foi estornada no3º bim.;;;;;CATETER NASAL ADULTO
107/2020;NFH;08/04/2020;00060-00146570/2020-83;Robson;154/2020;1;91207;4;X;X;CURATIVO DE HIDROFIBRA, ESTERIL. Composição: carboximetilcelulose associada à prata, estéril, não aderente. Tamanho: 15x15cm. Apresentação: embalagem individual.;UN;300;LM FARMA (692);300; R$ 48,0000 ; R$14.400,00 ;14/04/2020;2045;16/04/2020;27/04/2020;30/04/2020;18270;04/06/2020;3;;;;;;CURATIVO DE HIDROFIBRA
016/2020;NECFM;13/04/2020;00060-00150341/2020-63;Oberdan;155/2020;1;MMU26;1;;;CONSERTO DE MONITOR MULTIPARAMÉTRICO DIXTAL DX 2020 - Patrimônio 741178;Serviço;1;SÃO BERNARDO (83);1; R$ 2.556,8700 ; R$2.556,87 ;23/04/2020;8782;28/04/2020;29/04/2020;29/04/2020;18224;04/06/2020;3;;;;;;0
016/2020;NECFM;13/04/2020;00060-00150341/2020-63;Oberdan;155/2020;2;MMU27;1;;;CONSERTO DE MONITOR MULTIPARAMÉTRICO DIXTAL DX 2020 - Patrimônio 741180;Serviço;1;SÃO BERNARDO (83);1; R$ 2.556,8700 ; R$2.556,87 ;23/04/2020;8782;28/04/2020;29/04/2020;29/04/2020;18224;04/06/2020;3;;;;;;0
015/2020;NECFM;13/04/2020;00060-00150276/2020-76;Oberdan;156/2020;1;VME03;1;;;Conserto em Aparelho VENTILADOR MECANICO, marca MAQUET modelo SERVO-S Patrimônio: 020447;Serviço;1;*CANCELADO;;; R$-   ;27/05/2020;;;;;;;3;5 publicações desertas;;;;;0
014/2020;NECFM;13/04/2020;00060-00150059/2020-86;Oberdan;157/2020;5;CAM74;1;;;CONSERTO DE Cama Elétrica Hospimetal, Patrimônio 878110;Serviço;1;*CANCELADO;; R$ 1.100,0000 ; R$-   ;19/05/2020;;;;;;;5;email prazo expirado;;;;;0
014/2020;NECFM;13/04/2020;00060-00150059/2020-86;Oberdan;157/2020;4;CAM73;1;;;CONSERTO DE Cama Elétrica Hospimetal, Patrimônio 878256;Serviço;1;*CANCELADO;; R$ 1.100,0000 ; R$-   ;19/05/2020;;;;;;;5;email prazo expirado;;;;;0
014/2020;NECFM;13/04/2020;00060-00150059/2020-86;Oberdan;157/2020;2;CAM72;1;;;CONSERTO DE Cama Elétrica Hospimetal, Patrimônio 878281;Serviço;1;*CANCELADO;; R$ 1.100,0000 ; R$-   ;19/05/2020;;;;;;;5;email prazo expirado;;;;;0
014/2020;NECFM;13/04/2020;00060-00150059/2020-86;Oberdan;157/2020;1;CAM71;1;;;CONSERTO DE Cama Elétrica Hospimetal, Patrimônio 878282;Serviço;1;*CANCELADO;; R$ 1.100,0000 ; R$-   ;19/05/2020;;;;;;;5;email prazo expirado;;;;;0
014/2020;NECFM;13/04/2020;00060-00150059/2020-86;Oberdan;157/2020;3;CAM70;2;;;CONSERTO DE CAMA Marca HOSPIMETAL, Nº. Pat. 878290 - Código PDPAS antigo CEL48;Serviço;1;*CANCELADO;; R$ 1.100,0000 ; R$-   ;19/05/2020;;;;;;;5;email prazo expirado;;;;;0
111/2020;NFH;13/04/2020;00060-00151085/2020-21;Jefferson;158/2020;1;90505;2;X;X;OLEO MINERAL 100 % PURO FRASCO 100 ML;FR;200;*CANCELADO;;; R$-   ;15/04/2020;;;;;;;2;ESTOQUE NA FARMÁCIA CENTRAL;;;;;OLEO MINERAL 100 % PURO FRASCO 100 ML
036/2020;NUAL;13/04/2020;00060-00153724/2020-93;Bruno;159/2020;1;2975;1;X;X;"ETIQUETA AUTO- ADESIVA, Material: celulose vegetal adesivo sintético, Tamanho Etiqueta: 89x24 mm, Aplicação: formulário contínuo, Número de Colunas: 1,Cor: branca. Com os dizeres abaixo conforme modelo no anexo.
Validade Multidose - HRG/SES-DF
Medicamento: ________________
Data de Abertura: _____________
Válido até: _____/_____/________
Resp. abertura: _______________";MH;5;RV GRÁFICA (703134);5; R$ 60,0000 ; R$300,00 ;15/04/2020;679;16/04/2020;22/04/2020;22/04/2020;18012;04/06/2020;3;conforme modelo sei 38299968);;;;;ETIQUETA AUTO- ADESIVA
112/2020;NFH;13/04/2020;00060-00151171/2020-34;Clayton;160/2020;1;90949;9;X;X;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML;AMP;3.000;PRÓ SAÚDE (702918);3.000; R$ 1,6400 ; R$4.920,00 ;15/04/2020;40075;15/04/2020;16/04/2020;20/04/2020;"98537*
000575";"30/04/2020
05/05/2020";2;*TED paga no segundo mas foi estornada no3º bim.;;;;;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML
109/2020;NFH;13/04/2020;00060-00150974/2020-71;Robson;161/2020;1;90032;11;X;X;CISATRACURIO (BESILATO) SOLUCAO INJETAVEL 2 MG/ML AMPOLA 5 ML;AMP;300;CRISTÁLIA (114);300; R$ 29,0000 ; R$8.700,00 ;23/04/2020;2599926;27/04/2020;28/04/2020;30/04/2020;18246;04/06/2020;3;;;;;;CISATRACURIO (BESILATO) SOLUCAO INJETAVEL 2 MG/ML AMPOLA 5 ML
110/2020;NFH;13/04/2020;00060-00151049/2020-68;Jefferson;162/2020;1;10275;5;X;X;"FLUCONAZOL SOLUCAO INJETAVEL 2 MG/ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO. A bolsa ou frasco deve conter graduação volumétrica; permitir o escoamento total da solução, sem haver necessidade de entrada de ar. Conter um ou dois sítios. Se dois sítios - um autovedável e outro protegido por membrana e lacre de esterilidade para conexão do equipo, se um sítio - membrana autovedável. O sítio de conexão do equipo deve ser protegido por membrana e lacre de esterilidade, ser adaptável e moldável a qualquer equipo e não permitir sua desconexão e vazamento.";UN;100;MAFRA (703141);100; R$ 12,4000 ; R$1.240,00 ;15/04/2020;325298;15/04/2020;16/04/2020;20/04/2020;97708;29/04/2020;2;;;;;;FLUCONAZOL SOLUCAO INJETAVEL 2 MG/ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO
037/2020;NUAL;14/04/2020;00060-00154927/2020-05;Clayton;163/2020;1;49243;2;X;X;APARELHO PARA TRICOTOMIA ( BARBA ), Material: plástico, Tipo Uso: descartável, Formato Cabo: anatômico, Emabalagem:   individual, Características Adicionais:  02 ( duas ) lâminas paralelas afiadas, e capa protetora para as lâminas.;UN;2.000;CIRÚRGICA FERNANDES (3510);1.992; R$ 0,6786 ; R$1.351,85 ;15/04/2020;1207296;15/04/2020;20/04/2020;20/04/2020;18110;04/06/2020;3;;;;;;APARELHO PARA TRICOTOMIA ( BARBA )
038/2020;NUAL;15/04/2020;00060-00157124/2020-02;Robson;164/2020;1;24543;3;X;X;LÂMPADA ALOGÊNEA, 12 volt's , 30 Wat's para uso em Microscópio em laboratório.;UN;10;DS MEDICAL (702905);10; R$ 75,0000 ; R$750,00 ;29/04/2020;442;15/05/2020;15/05/2020;15/05/2020;18090;04/06/2020;3;;;;;;LÂMPADA ALOGÊNEA
